id,premise,text;
0,face masks,WEAR A MASK #coronavirus HTTPURL;
1,face masks,Wear . A . Mask . #Covid_19 HTTPURL;
2,face masks,@USER Put a mask on #CoronaVirus HTTPURL;
3,face masks,What a waste #coronavirus;
4,face masks,Wear a mask . That is all . #COVID19 #WearAMask;
5,face masks,#Coronavirus Stay Safe;
6,face masks,Friendly PSA : Wear a Mask . #COVID19 HTTPURL;
7,face masks,Project face wear #Coronavirus;
8,face masks,Way of the mask #COVID19 HTTPURL;
9,face masks,New mask ! #mask #covid19 #science HTTPURL;
10,face masks,A #facemask is better than a #ventillator ... #COVID19 HTTPURL;
11,face masks,Stay home #Coronavirus;
"12,face masks,""We need a federal mask mandate . If you are out in public , you are wearing a mask . #Covid_19""";
13,face masks,new normal #COVID19 HTTPURL;
14,face masks,Who is wearing a mask out ? :face_with_medical_mask: #coronavirus #SaferAtHome;
15,face masks,Use mask :face_with_medical_mask: #COVID-19 #StayHome HTTPURL;
16,face masks,BEST . MASK . EVER . #Corona HTTPURL;
17,face masks,Social Distancing #COVID19 HTTPURL;
18,face masks,Wow so president Trump refuses to wear a mask but everyone else has to ? #Covid19;
19,face masks,People who recognize you while wearing a face mask are Annoying :neutral_face: #Covid_19 :face_with_medical_mask:;
20,face masks,#coronavirus I am so sick and tired of seeing videos online of people getting angry and fighting people for being asked to wear a face mask . My face mask protects you and your face mask protects me . Just wear a damn face mask . #MasksSaveLives #MaskUp #mask;
21,face masks,Stay the fuck at home #COVID19 HTTPURL;
22,face masks,Why Masks ? #COVID19 HTTPURL;
23,face masks,If I told you wearing your mask is a life or death situation would you wear all the time ? #coronavirus HTTPURL;
24,face masks,So Bolsonaro tested positve to #COVID19 and is still not wearing a mask;
25,face masks,How can a paper thin mask protect you from the #coronavirus;
26,face masks,Our Design #fashionfacemask #washablefacemask #COVID19 HTTPURL;
27,face masks,Got my mask #CoronaVirus #Mask #COVID19 HTTPURL;
"28,face masks,""WEAR N95 MASK , WEAR FACE SHIELD , WEAR GLOVES , MAINTAIN SOCIAL DISTANCING #Covid_19""";
29,face masks,All this is getting a little too much #Coronavirus;
30,face masks,#Coronavirus be safe;
31,face masks,Attention all anti-maskers . #COVID19 HTTPURL;
32,face masks,#COVID19 has a lot to answer for :face_with_tears_of_joy:;
33,face masks,Wear your mask . Wash your hands . #StaySafe #COVID19 HTTPURL;
34,face masks,Do not touch your face .. #coronavirus;
35,face masks,WEAR A FUCKING MASK ! #COVID19 #BLM #BreonnaTaylor HTTPURL;
36,face masks,I need this face mask :face_with_tears_of_joy: :face_with_tears_of_joy: #COVID19 #day37oflockdown HTTPURL;
37,face masks,Real thugs wear mask too :face_with_medical_mask: #coronavirus;
38,face masks,Just saying #COVID19 #StayHome HTTPURL;
39,face masks,Wearing a mask is not about freedom . It 's about health . Like a cpap or oxygen mask . #WearAMask #covid19 HTTPURL;
40,face masks,Please always use a face mask . #coronavirus #Covid_19 @USER HTTPURL;
41,face masks,Getting snacks #covid19 HTTPURL;
42,face masks,Anyone have a recommendation for non surgical face masks ? #coronavirus #California;
43,face masks,Wait fuck that #coronavirus;
44,face masks,:face_with_medical_mask: to slow down #COVID19 trtransmission HTTPURL;
45,face masks,My poor baby girl #Covid_19 HTTPURL;
46,face masks,Now that 's a face mask #COVID #deadmansshoes #southerncasuals HTTPURL;
"47,face masks,""Pro tip : if your nose is not inside your mask , then you might as well not wear a mask . #covid""";
48,face masks,I need a Bane mask to protect me from #Covid_19 . HTTPURL;
49,face masks,#COVID19 is real Stay safe ! HTTPURL;
50,face masks,Facepalm Sunday . #coronavirus HTTPURL;
51,face masks,Happy Sunday #covid19 HTTPURL;
"52,face masks,""Maybe I 'm a bit thick , so can someone please explain to me ... why there would be any objection to wearing a mask in public ? Genuine question #Covid_19 #facemask""";
53,face masks,Ready for #coronavirus HTTPURL;
54,face masks,Avoid touching your face ! #COVID19 HTTPURL;
55,face masks,It 's a cold . #Coronavirus;
56,face masks,I miss sports #coronavirus;
57,face masks,How am I supposed to give my homie a goodnight kiss wearing a face mask . Thanks #COVID__19 #coronavirus;
58,face masks,PLEASE STAY AT HOME #COVID19 HTTPURL;
59,face masks,Stay safe . #CoronaOutbreak;
60,face masks,Stay safe everyone #COVID19 HTTPURL;
61,face masks,The #coronavirus is a form of biological warfare from China;
62,face masks,God help us . #Coronavirus;
63,face masks,Mood ... #Covid_19 HTTPURL;
64,face masks,This is a great read . #Covid19 HTTPURL;
65,face masks,Everyone is a #coronavirus expert :face_with_tears_of_joy:;
66,face masks,It 's not looking good at all :sleepy_face: #coronavirus;
67,face masks,#Covid_19 2020 is worst year :worried_face:;
68,face masks,How to stop #coronavirus HTTPURL;
69,face masks,Day 8 of Quarantine #COVID19 HTTPURL;
70,face masks,Remember this and always wear a #facemask :face_with_medical_mask: Be safe ! #coronavirus #mumbai HTTPURL;
71,face masks,Be safe guys #BeSafe #Covid_19 HTTPURL;
72,face masks,Stay safe everyone #Covid_19;
73,face masks,Just a thought #COVID19 #Coronavirus #UKLockdown HTTPURL;
74,face masks,Wear a mask it 's not hard #WearAMask #WearADamnMask #coronavirus #CovidUSA;
75,face masks,#Covid19 #social #distancing in place ! HTTPURL;
76,face masks,Does an old oak tree offer an appropriate design for a #Covid19 face mask ? HTTPURL;
77,face masks,Mood after #Coronavirus is over HTTPURL;
78,face masks,Stay home Stay safe #Covid19 HTTPURL;
79,face masks,Life goes on #corona HTTPURL;
"80,face masks,""#Covid_19 , I rest my case HTTPURL""";
"81,face masks,""1918 , Spanish Flu .  Wear a mask or go to jail  #Covid_19 HTTPURL""";
82,face masks,Mood #Covid_19 HTTPURL;
83,face masks,Stay safe out there #CoronaOutbreak HTTPURL;
84,face masks,It 's confirmed I have #coronavirus :sneezing_face: :face_with_medical_mask: HTTPURL;
85,face masks,Nobody cares #Coronavirus;
86,face masks,So happy my dog can't get #coronavirus;
87,face masks,So scary #Coronavirus;
88,face masks,#Coronavirus A sign of the times . HTTPURL;
89,face masks,Stay at home guys keep safe #coronavirus;
90,face masks,MOOD :face_with_rolling_eyes: #Corona #COVID19 HTTPURL;
"91,face masks,""If I can wear this all day , I do n't understand why wearing a cloth mask into a store is such a problem #MaskUp #COVID19 HTTPURL""";
92,face masks,No one better complain when we go back into a serious lockdown again because YOU REFUSED TO WEAR A MASK AND SOCIAL DISTANCE #COVID19;
93,face masks,#Covid_19 May God help us all ! ! ! HTTPURL;
94,face masks,i 'll leave this here #CoronavirusOutbreak HTTPURL;
95,face masks,Always make sure your face mask covers both your nose and mouth #COVID19;
