,Unnamed: 0,premise,text,stance
1792,1792,fauci,"#DrFauci an anti Trumper inciting panic "" #coronavirus ten times more lethal than the flu 
The flu has already killed 10,000 across US as world frets over coronavirus death rate among infants highest in 17 yrs.",2
1418,1418,fauci,I only want to hear the truth from #DrFauci !  #shutupTrump #coronavirus #CoronavirusPandemic #CoronavirusNewYork #PrayForNewYork,1
3144,3144,stay at home orders,"@SexCounseling #Arizona never had a curve to flatten according to my doctors, but our little governor rather listen to the liberal left and skewed numbers..",2
3092,3092,stay at home orders,"@antiscarcity @ChanelRion Now that the data is being extrapolated, it is estimated that over 25 million people have had the virus. 

The survival rate is now around 99.7%. 

We need to end this foolishness &amp;",2
4068,4068,school closures,What about the kids are being forced to go back to school because their parents are virus/pandemic deniers? Our kiddos are more aware than some give them credit for. That’s not an environment that promotes learning. That’s an environment that can create PTSD.,1
222,222,face masks,"Lets just remember that its not the policy around face masks which will ruin the high streets 

Its the opinions and views of those who are ignorant and entitled which will damange high streets. 

Just get on with it and stop moaning
#facemasks ",1
925,925,face masks,"@WVGovernor @WVNationalGuard Vote out RINO @WVGovernor @JimJusticeWV !!!
We expected you to stand up for us against the Left’s Fearmongering!
Even #FraudFauci admitted that masks don’t help &amp; can harm the wearer!
Many people in WV have to work outside in the heat wearing masks!
",2
3287,3287,stay at home orders,@GovernorBullock and Lt. Governor Cooney going all in with their Agenda for Montana.  Welfare with a Capital W.   Sixteen years of Democrats in power and we got no jobs and stagnant wages.  Vote GOP. Vote Right and Red. #mtpol #MontanaFirst,0
3906,3906,school closures,"Oh, it’s going to be “a safe reopening of the schools.” 
 We can all stop worrying. Donald Trump says it will be safe, so it will be safe because he says so. When has he ever been wrong before?
 What is his strategy? That it will be safe. Simple. 

 #TrumpsAmerica",1
11,11,face masks,Can y’all wear masks so we can freely drink our coffees while shopping around without a mask around our faces?!,1
2053,2053,fauci,"@NYGovCuomo Fake science, there a lot of individual doctors coming out and disagreeing with Fauchi!!! He was wrong on this plandamic so many times!",2
4135,4135,school closures,"Obviously opening schools as usual all across the country is insane and dangerous. However, if you are screaming about closing schools without demanding a solution for parents suddenly without childcare then you do not actually care about parents or children",1
3189,3189,stay at home orders,@DailyCaller Nobody cares. Unemployment and Covid stimulus benefits are funding riots looting and burning. Get their loser asses back to work now. #MasksOffAmerica #FakeChineseVirusCrisis,2
1866,1866,fauci,@TimRunsHisMouth Ya but racist fauci doesn care he wants kill us,2
914,914,face masks,@Uber You wear masks because you are indoctrinated sheep.,2
1886,1886,fauci,@IminHisbook @Julietknows1 3-4 million Americans will die! No Masks! 98-99% survival rate Masks On! Sex with strangers OK! Hand shaking NOT OK! Right,2
