,Unnamed: 0,premise,text,stance
0,0,face masks,"@SuzanneEvans1 @Jo_Turandot @LadyTrumpington Surgeons &amp; nurses wear them for hours every day standing up w/o breaks during surgeries. Cowgirl up.
",1
1,1,face masks,"I try to be unbiased on my Twitter.

Which is why I’m saying Wear A Mask.

Because wearing a mask isn’t political or partisan. It’s common sense and kind to your fellow human.

We all have to do our part to slow the spread of COVID-19.

",1
2,2,face masks,@GOPLeader So 9 out of 10 members of Congress with Covid-19 is a Republican. Doesn’t that antidotal added to science tell you something? Covid-19 doesn’t care about your politics but the politics of the Republican Party have made it worse.,1
3,3,face masks,@AvantiWestCoast I’m in coach F en route to London Euston from Sandwell &amp; Dudley and two people opposite me do not have a facemask on? What is the process as I feel that it is irresponsible and also they’re not following the strict guidelines like others. #covid19,1
8,8,face masks,"@Learning2GetBy What a bunch of hillbillies! That asshole  @DerekSloanCPC Is proud to show his supporters! :joy::joy::joy: it’s no Mensa meeting. And not a mask in site, wow, what brilliance! #canpoli #Manitoba",1
9,9,face masks,"@KrisTStacey1 @Walmart What’s Schantz.   The Democrat Governors of WA and NY have both done a great job combatting #COVID19..  The Democrat mayor of NYC is a damn idiot tho.  Don’t be a #COVIDIOT, Kris.  ",1
10,10,face masks,"@ananavarro @nanelvisfan This pandemic, like any crisis, seems to squeeze the best and the worst of us out of the shadows. And he probably preaches about What Would Jesus Do. I’ll bet he’d wear a f**king mask.#COVIDIOTS",1
11,11,face masks,Can y’all wear masks so we can freely drink our coffees while shopping around without a mask around our faces?!,1
12,12,face masks,"People who like to sew: a fat quarter of fabric is the perfect size to make two pleated masks :) cut it in half then in half again and double up two squares to make one mask. Make pleats By making 3-4 folds, sew the edges, and add ties. Done. #normalisemaskwearing ",1
13,13,face masks,I wonder what the coronation is to folks who buy lottery and don’t wear masks? #WearADamnMask,1
14,14,face masks,"@DrNickCrombie Dr Nick, I agree it’s brilliant...but I’m disappointed that so many comments here show that either people lack a sense of humour!  and/or don’t get how essential both vaccinations and mask wearing are for our survival! Shocking! :joy::face_with_symbols_on_mouth:

#WearADamnMask 
#MasksSaveLives",1
15,15,face masks,Is there still a pandemic or not? Everyone out there having their best summer life and I'm like this sucks #socialdistancing #Covid_19,1
17,17,face masks,"A guy with no mask just knocked on my door. I have big loud dogs, he backed away. I stuck my head out and he yelled across the yard. He's selling frozen beef. Holy hell, he came to my door with no mask.",1
20,20,face masks,"Over 155,000 Americans have succumbed to Covid-19 and too many more will.

Your right to not wear a mask is disrespectful to all front line workers and your fellow citizens. 

Your right to not wear a mask contributes to our country’s horrific toll.",1
22,22,face masks,"A to Z #NoMasks 
Reason you r a Non-masker
You are:
Arrogant 
Brainless
Careless with others 
Dumb
Egotistical 
Fox News Watcher
Germ gigolo
Hypocrite 
Ill-informed￼
Jerk
KKK sympathizer 
Lame 
Manic
Narcissist￼
Oppressor 
#Covid_19 #DrFauci #coronavirus #MaskUp ",1
23,23,face masks,@Gay_Alcorn @BarnsGreg Why are you asking stupid questions? Give people an inch they take a mile #StayHomeSaveLives,1
24,24,face masks,"@CheyenneNDN @Glowysoe @RobynFlowers18 @OGKBEAR @Dadilicious2 @KingRezizt @WeinreichHolly @realCheeto1 @NicoleNunn20 @ccsllew @AmateurMmo @Pittsburgbitch @leahbake @Duke_of_Phale @Burgh_bitch @cookiem89151957 @TroianoNic @JTSand138138 @TrumpBear4 @comeundone0 @AndyPadrutt @BResisting @JoeBiden @MeidasTouch @Eiggam5955 @brianlewis3282 @waltsimsjr @onit1977 @jenjones207 @BigPixieKiss @Flyin_Nrs @Peatches66 @Boomer818 @Jeff_resist @babaloo2 @TruthfulReal1ty @BradyBoo75 @AngBonCan @Wikweko @Brentp56 @WilliamFPeters2 @BackNBlack1975 @CapAmerica1111 @BogdanoffElaine @TCRG2012 @YetiEye @100Mohawk @BrahmaGreg @Rob83753057 @RandomFSM I don't get the fight against facemasks. Ppl have worn clothes, shoes, hats, etc for years. Ppl wear seatbelts &amp; helmets. Athletes wear padding. Men wear condoms. No one ranted that rights were being violated when all of that stuff became a thing.",1
25,25,face masks,Just worked the front end of a central Iowa grocery store. Counted 508 people. 68 had on masks.. #iowa #COVIDIDIOTS #grocery,1
26,26,face masks,I guess I should’ve know any effort to flatten the curve that depended on an overwhelming majority of Americans to refrain from being self-centered was doomed to fail.,1
27,27,face masks,"Because a lot of people STILL refuse to wear masks, and stay physically distant from others, I'm gearing up for some GREAT holidays, such as:

Hallowzoom
Zoomsgiving
Christzoom
Zoom Year's Eve
Zoomukkah
Kwanzoom",1
29,29,face masks,@NPR Is that Tucker Carlson?  #COVIDIOTS,1
30,30,face masks,@PrawnDave @ImmoralReport There’s someone LONG overdue for an ass whoopin’. #covidiot #Covidiocy,1
31,31,face masks,Day 1292 with a contagious haiku: Endless quarantine. America is broken. Wear your fucking mask.,1
