,Unnamed: 0,premise,text,stance
2343,2343,fauci,@Agains7all0dds @EyesOnQ They don't work like that! #ArrestBillGates,0
4098,4098,school closures,"If schools don't open funding should go to the parents!?!?

1) They are open, it's virtual
2) Where is the excess capacity for these kids if they leave their current school?

This is as smart as arm the teachers. @EricTrump level smart.

#SchoolReopening",1
169,169,face masks,@Walgreens @WAGSocialCare just left your Grayslake store. Shift leader Shannon wearing only a thin silk bandana instead of a proper mask. DO BETTER!,1
139,139,face masks,"@hillarywillbern @Fickster69 @Adrieliam @SMSCats2 @BillyCorben @TedToddAgency @CharleyTodd You're very UNexcited about Costco rules, unfortunately... I hope for my health and the health of everyone that you follow Costco rules and related laws to preserve public health... Please wear a mask and don't spread germs in public. :grin:",1
900,900,face masks,@caroljsroth Locking down/shutdowns &amp; all the so-called experts inconsistencies #FireFauciNow #FireFauci #openourschools #OpenAmericaNow #Masks,2
1606,1606,fauci,"The only void #tang is filling is much missed rallies. Rallies where he denigrates and mocks others, tells endless lies / doing it daily in the pressers/ #COVID19 @NBCNews @ABC @CBSNews #DrFauci  tells the truth / trust him",1
754,754,face masks,@An0nJon17 I don't give a fuck WHO wears a mask.  NOT DOIN IT!!  And I agree with you.  Didn't make me happy to see him wearing it.   There had a better be a good 5d chess reason for it.,2
4374,4374,school closures,"In regard to this, the Gujarat Government decided that parents did not have to pay fees and that term fees paid so far since the lockdown be refunded by schools to parents. This decision come as an extremely insensitive and dangerous step.",0
1761,1761,fauci,@2ndfor1st @debnantz #FireFauci he is not working int he best interest of the health and well-being of Americans. He is closely tied to industry and doesn't speak of #vitaminc which is being used in China and NYC to cure. #coronavirus,2
1980,1980,fauci,"@DineshDSouza @Serious72048896 It worked with @realDonaldTrump This time, and he still keeps these Globalist criminals  "" #DrFauci "" and #DrBirx the #Scarflady  as ""experts"" :smirk::unamused:   I'm done watching these #coronavirus updates, Trump is being undermined by all of them, including by "" #DrRedfield """,2
1583,1583,fauci,"#Fauci grew up a working class kid from Brooklyn, made it all the way to #Regis #HolyCross #ColumbiaUniversity Med School; he battled HIV/AIDS, SwineFlu, Ebola and COVID-19 and Trump cowards think they can scare him away? #DumpTrump2020 #Biden2020",1
