,Unnamed: 0,premise,text,stance
4330,4330,school closures,"@ReginahMhaule @DBE_SA 
The @CyrilRamaphosa announcement that public school will close means that private schools remain open? Theoretically yes, is the ministry saying that there's no #COVID19 in private schools?
#schools",0
2214,2214,fauci,"@realDonaldTrump 1,996,960 COVID-19 Cases
112,726 Deaths in 4 months 
Children developing Multi-System Inflammatory Syndrome 
#COVIDー19 
#ScienceMatters 
#DrFauci 
#DrBirx",0
2630,2630,fauci,"#Trump WH forbids #DrFauci from testifying before the House of Representatives (controlled by #Dems).

Hwvr, Trump WH *will* allow #Fauci to testify before #MoscowMitch""s Senate b/c controlled by #GOP.

This is no time to play politics &amp;/or censor the truth.

#CoronavirusUSA",0
2773,2773,stay at home orders,"@thegoodgodabove &amp; some AHOLE from #Texas just drove all way to #Montana to start Coughing uncontrollably in next aisle over from me, heard him keep coughing until a Store Manager ASKED HIM TO LEAVE...
i counted 7 different Out-of-State Plates in 3blocks... WTF",1
4505,4505,school closures,"It’s not ideal, but it solves part of the issue. Teachers would be in their own classrooms, there’s really not an issue of cross contamination like there would be with the hybrid or full return model. Maybe something to think about? #onted #COVID19 ",0
2514,2514,fauci,"Shame on you Dr. Ron Paul-you are a doctor. 

A doctor pulling the I’m a”free individual nonsense” that is going to destroy this nation. 

“We shouldn’t assume a group of experts know what’s best”-
Dr. Ron Paul is honestly the STUPIDEST thing I’ve ever heard. #

#COVID19 #DrFauci",0
2215,2215,fauci,"If Fauci liked a post by Dinesh D'Souza, he would be fired by now. It shows where our priorities are at as a society",0
1210,1210,face masks,Is it just me or has the increase in mask wearing also caused a increase in fat young people?,0
2650,2650,fauci,":stop_sign: Remember:

:x: No Trumper gave any shit about overworked hospital staffs
:x: Said hospitals empty, #Covid19 is less dangerous than flu
:x: Wanted to fire #DrFauci
:x: Demanded to be on streets 

Now that they have these things going on for them...",0
2534,2534,fauci,@ABC Are these #'s correct b/c it seems like some states are #underreporting cases due to lack of #testing. #coronavirus #COVID19 #therona #DrFauci #ThursdayThoughts #health #contagionmovie #NoPlanetB #PeopleOverPolitics #peoplebeforeprofit,0
2528,2528,fauci,"The imagined perfect solution is the ""end-all."" So with this in mind, Paul might rather have said: ""I don't think [your policy, Dr Fauci,] is the end-all.""

4/4

#macbeth
#covid19
#covidhearing 
#RandPaul 
#DrFauci",0
1841,1841,fauci,@ProjectLincoln @realDonaldTrump @gtconway3d @reedgalen @NHJennifer @madrid_mike @SteveSchmidtSES @RonSteslow @jwgop @TheRickWilson @realDonaldTrump get out let the professional handle the problem. We don’t need drama and suspense like if this is a TV show. We need #DrFauci to open this #coronavirus briefings with facts not LIES.,2
2175,2175,fauci,Where it #DrFauci?  #COVID19,0
2589,2589,fauci,"@realDonaldTrump You know nobody watches #FoxNews anymore, #Hannity #TheFive #MSM #WeAreTheNewsNow #5GKILLS #Bret #Maddow #TrumpGenocide #5GCoronavirus #LiberalismIsAMentalDisorder #princetribute #COVIDー19 #chriscuomo #COVID19 #DrFauci #5GCoronavirus #Dr. Birx #Panama #USO #virus #BREAKING #1A",0
2303,2303,fauci,#DrFauci says “no evidence” of transmission of #Coronavirus from household pets to humans. #PressBriefing,0
2862,2862,stay at home orders,Thanks to @realDonaldTrump  the #Coronavirus has got  bad all because he was to,1
4299,4299,school closures,"Society is bound to fall
If
Schools fall.",2
3750,3750,school closures,we request our respected Prime Minister  @ImranKhanPTI and our education minister @Shafqat_Mahmood to announce opening of schools after Eid.,1
317,317,face masks,"@JohnCornyn Trying to be a smart ass!!! 
Dr Fauci is the only expert we need!!!
#TrumpDeathToll137K 
#TrumpVirusCatastrophe 
#TrumpGolfsAmericansDie 
",1
2736,2736,fauci,"@GovNedLamont Since Lamont can't make up his own mind about almost everything, I hope Fauci doesn't tell him to shut the state down again (Because Lamont isn't a REAL leader and he'll probably do it).",0
4463,4463,school closures,"@Tges_Official Parents should have a right to choose the format of their children's education, especially in such uncertain times. We don't know when #schools will open, so there have to exist various avenues for children to continue their #education",0
2901,2901,stay at home orders,@davmidd I'm #StillShielding one of the 2.2 million in the UK deemed extremely clinically vulnerable.  Allowed out as the cases rise. I'm not going to be a statistic in the next carehome scandal. Where 'lessons have been learned' after a third of us die. No way.,1
2518,2518,fauci,"Haven't heard from #DrFauci in a while, is the coronavirus over?",0
2885,2885,stay at home orders,":heart_suit_selector: “Small acts, when multiplied by millions of people, can transform the world.” -Howard Zinn
#BeKind #SpreadLove #StrongerTogether
#WearAMask",1
4380,4380,school closures,Schools are doing their best to ensure that  education for children is not disrupted. I support my children's school and all self financed schools wholeheartedly.,0
4000,4000,school closures,Schools won't shut down because the government is if certain the problem is with alcohol and cigarettes,1
4121,4121,school closures,"Trump doesn’t care about the 135,000 Americans that have died on his watch. His cronies have been released from prison due to the coronavirus. Do you really think he cares about our children?",1
4242,4242,school closures,"@imBhupendrasinh @vijayrupanibjp @CMOGuj
Your order is equivalent. How can schools teach without getting paid?",2
2435,2435,fauci,"I'm watching the #Senate committee questioning #DrFauci and other members of the #CoronavirusTaskForce, and its kind of interesting, in its own way. I like seeing them testify face to face, but the #SocialDistancing adds a little more flavor to the proceedings.",0
663,663,face masks,"@KAPeanut @Jeswal_63 @guardian How about if you're the person who can’t comfortably wear a mask due to a lung disease, is infected and causing the spread to those of us who are wearing a mask that we wear because it protects you?
So...we both have it now",2
4296,4296,school closures,"Ok, so we can't trust educators to safe distance or wear masks? Why in the hell are we letting them teach our children?",2
2121,2121,fauci,"Please don’t let our children grow up thinking it’s okay to live in fear of getting sick. You get sick, you get better. 
It happens all the time. If you’re afraid, stay home. 
If you’re sick, stay home. 
NO MASKS IN SCHOOLS 
NO MASKS NO WAY! #COVID19 #ChinaVirus",2
858,858,face masks,@KarenHDuffy40 @Peace1226528725 Hope CA business owners start doing this! #RecallGavinNewsom #Plandemic,2
4073,4073,school closures,"In this critical time of Covid-19 pandemic outbreak where every parent was worried about their child's future, the initiative of adopting online education is appreciable &amp; a blessing in disguise.",1
1785,1785,fauci,"When will WHO, CDC, FAKENEWS and all these morons admit they made mistakes on the CHINA VIRUS? @DonaldJTrumpJr @MAGA @KAG @NRA @RNC @DNC @FoxNews @CNN #TrumpTrain2020 #COVID19 #CoVFeFe @JoeBiden @JoyAnnReid @donlemon #Thugs",2
492,492,face masks,people are so quick to be like millenial this gen Z that yet we are the ones ABIDING TO STOP THE SPREAD OF COVID-19 #rantover,1
2723,2723,fauci,"#realtors are working in the #Nashville market. People are buying and selling &amp; I will help you navigate the #realestate road safely.

#precautions #COVID19 #COVID19Pandemic #remotelearning #DrFauci #realtor #homes",0
1999,1999,fauci,"Stop this damn mask crap!What happened to Freedom?  What happened to the Constitution?What happened to""my body,my choice""??that crap works for pro-abortion baby killers just fine!We need to breathe fresh air! If masks work..then YOU wear one &amp;you'll feel protected!",2
1973,1973,fauci,"@BostonGlobe @Greymantle When the @BostonGlobe admits covid 19 is a hoax. It's the flu, just this years flu there's a new one every year. There are multiple cures, the hoax is saying there isn't. They have capitalized on ignorance to sell a lie and destroy America.",2
187,187,face masks,"@FoxNewsMom @BillStepien @GOPChairwoman Covid cases are coming down. What we need is someone who can lead us out of this madness. Trump is not ever gonna be the mask guy. On the other hand, if people see their kids back in school, and can go outside without fear and mask harassment, I think he has a shot.",1
4160,4160,school closures,"The way everyone is waiting for University, college and schools to be closed because of coronavirus :rolling_on_the_floor_laughing::skull::skull:",2
3538,3538,stay at home orders,"Hey, all you pussies tweeting #WearAMask, next time I see one of you nerds in public, I'm gonna snatch it off your face, then fart into it, and see how much fun it is to wear after that lmao

#NoMasks #COVIDIDIOTS #COVIDIOTS #CovidHoax",0
2762,2762,fauci,"@SteveDeaceShow @realDonaldTrump @realDonaldTrump WTAH, Mr President. #FireJared I’m very sorry he’s your son-in-law.... QUIT LISTENING TO A LIBERAL.... Americans are DONE DONE DONE with domestic terrorists, violence; and the statue BS. GET ON IT PLEASE. While I’m at it-STOP THE ‘RonaRoid PANIC PORN.",0
507,507,face masks,"Mask mandates serve a porpoise. 
Keep Patriots out of harms way.",1
2817,2817,stay at home orders,@GovMikeDeWine Now please close bars &amp; indoor dining,1
2081,2081,fauci,@washingtonpost ...that's ok; we have #Hydroxychloroquine #Zinc and #ZPacks to deal with things anyway so that BS can wait...#CovidScam2020 #CovidFraud,2
2018,2018,fauci,"We The People have heard and seen enough of his flip-flop flapping lips and we're tired of it. He wants to hold NY as the model of handling the virus well, even though 32k people have died...",2
4427,4427,school closures,"Can I not get coronavirus? Like, I'm healthy enough to fight it, but I might give it to my dad who can't fight it.",0
1311,1311,fauci,Rand Paul asking the hard questions... True #Patriot. Thank you.  #COVID19 #OPENAMERICANOW #WWG1WGA #TheGreatAwakening #DrFauci #RandPaul,1
3564,3564,stay at home orders,"@Charapp_BetsyB @realDonaldTrump Elizabeth, if the kids return to school, it will look nothing like it used to. #Pandemic #COVID19",0
3765,3765,school closures,"My first online class was over Skype and the first 30mins was watching a classmate document himself cooking eggs. All in all a 10/10 experience
#coronavirus #StayAtHome",1
4090,4090,school closures,"Hey @realDonaldTrump and @GOP, to have safe schools, you must mandate masks and close non-essential businesses. No one NEEDS a tattoo right now.",1
367,367,face masks,"@akash_b1 @DewarNorris @Alan9White @JC_free82 Well why don’t you wear a helmet, knee &amp; elbow pads every day.:face_with_rolling_eyes: to the shops because of all the risks or just take your mask out of your arse pocket and and put it around your mouth. Tip on #NoNewNormal",1
1764,1764,fauci,"@EpochTimes And here he is with a mask on butt his nose uncovered.

 Do as I say and not as I do",2
4265,4265,school closures,"The govmnt is trying to prolong the closure of school so that they are able to “account” for the money that has already been looted. 

If schools close now, ba zo funa ichange ye mali e khiphiwe.",2
3755,3755,school closures,@MSNBC All countries in the western world opening schools but let's see..we don't follow the science to open schools but we followed science to shut down..oh ok now that makes sense.,1
3981,3981,school closures,"@kromagin @cbigg81 @DinosaurJaime @OliviaNiland People on the side of keeping kids out of school for another year are harming children far, far more than opening schools would regarding this virus.  I’m beginning to think those teachers don’t really like teaching and shouldn’t be teaching.",1
2835,2835,stay at home orders,"The top news stories yesterday talked about how many ppl are dying, and the news stories today talk about what ppl are doing to get back outside and back to “normal life.” Ik some are eager to get back to “normal,” but they forget we’re still in QUARANTINE.",1
277,277,face masks,"“Non-medical, fabric masks are being used by many people in public areas, but there has been limited evidence on their effectiveness and WHO does not recommend their widespread use among the public for control of COVID-19.“ - World Health Organisation, 3rd August 2020",1
2811,2811,stay at home orders,"Let that be a lesson to us “civilised” civilly disobedient twats: when you behave like absolute barbarous hooligans, you get results with government. Just ask SADTU and the Taxi industry. We should learn from them. #cyrilramaphosa #LockdownSA",1
2839,2839,stay at home orders,"I understand as social creatures we NEED to see each other IRL, but at what cost? How many more could die of #COVID19 if we send our kids to a building w/thousands of other people? #WeAreTPS ",1
2870,2870,stay at home orders,"Our responsibility towards our country is to prevent the further spreading of Coronavirus and maintain our health security.  #We_All_Return_Cautiously 
#we_are_all_responsible 
",1
4257,4257,school closures,"""...schools extremely important, they are essential and they must re-open"" - @PressSec",2
4234,4234,school closures,@GovNedLamont @pfizer Why do we need a vaccine!  We have clearly reached herd immunity here in CT.  Why would anyone take a new vaccine with possible side effects? #OPENAMERICANOW,2
2906,2906,stay at home orders,"(3) #NoPantsHalloween can also serve to honor all those who suffered and who were lost during the previous nine months. We can still be mad creative and celebrate together, while promoting where our needed $$ went instead. #Halloween #StayAtHome",1
2794,2794,stay at home orders,For anyone who thinks covid is just a virus. I almost died from a flare up of a virus I caught as a baby. . . 45 years later. We have no idea what the long term repercussions of Covid might be. #MaskUp #SocialDistancing,1
4276,4276,school closures,No money for schools which refuse to open.,2
106,106,face masks,@jeffmason1 @realDonaldTrump at least 22 people in this photo and maybe 3 are wearing masks... They run our government :face_with_rolling_eyes:,1
596,596,face masks,@PookztA @KarenLadybug1 @USMC_3 @jdstormrider @Ecomemory1 @TMzedg @KC33Phoenix @kashunco2 @Vatos4Trump @Budman8845 @Alpha6Phinsider @kittyc313 @EileenTownsend4 @gringo_maximo @gr8rn1 How about standing behind the people and protecting us from the violent Dem groups. #EndDemFascism #ObamaGate #WalkAway #AllLivesMatter #BLMTerrorists #EndShutDown,2
2924,2924,stay at home orders,@davidashleywall It’s more than just tourism: this has real world consequences for people that thought they could go to work on Monday.,2
4175,4175,school closures,Think of all the ugly kids that get to wear a mask to school and have a little more confidence...,2
4130,4130,school closures,I support pvt schools for continuing with Online Classes during this Pandemic Covid-19. The online classes allows the children to complete their Academic Syllabus of respective standards. Humble Appeal to Hon Government of Gujarat to re-consider its decision.,1
2775,2775,stay at home orders,"@Matthew_Xing @thehill ""During a highly infectious and deadly global pandemic maybe we want people to stay home you stupid POS.""
#DontDieForWallStreet",1
3905,3905,school closures,"All the educated people are supporting #OnlineEducation under these circumstances. The ones who are opposing it only shows how illiterate they are. Not their fault, they didn’t get good schools. And the same will happen if kids today don’t get quality education.",1
185,185,face masks,Of course I have my first Karen sighting at the grocery store no mask buying a  cake. Brawl in self-checkout she leaves her station the store associate says I can use it I say no thanks and the four people behind me in unison go us either.,1
1945,1945,fauci,"@MiaPhoenix3 @VoiceOfCanada4 Me too, tired of all this, time to return to real normal, not this paranoid faggotty assed pussy shit mentality of saaaafety and not triggering the perpetually outraged and offended mob

#Returntonormal #cancelcancelculture #EnoughIsEnough",2
2831,2831,stay at home orders,What has ANY billionaire ever been asked to sacrifice for the good of the country? I’m asking since we’re being asked to sacrifice our health/lives &amp; the health/lives of our CHILDREN for the good of the market/economy! #GeneralStrike #TeachersStrike #HellNoWeWontGo,1
293,293,face masks,"@JoeBiden Follow your own advice, then. You did an entire press conference with the mask hanging from your ear.",1
4035,4035,school closures,"People saying that schools and the economy could already be opened, with significantly less danger and financial distress, if we just handled the virus as well as most other countries are missing the point! COVFEFE! @realDonaldTrump",1
2804,2804,stay at home orders,@TcameronTodd Wow... I’m speechless :no_mouth: zero empathy or compassion let alone understanding what this virus truly is! I wondered if her tune would be different if she or one of her loved ones caught the virus .... #noclue #nocompassion #MaskupMelbourne #CovidVic,1
4285,4285,school closures,So there is no #Covid_19 in Private schools?,2
233,233,face masks,@QTAnon1 But a mask will keep you safe ...,1
2791,2791,stay at home orders,"It's been a while, since the world is taken over by a pandemic like situation, unheard and unseen like never before, in these testing times let us all make a effort to protect ourselves and help our communities to move ahead safely @ConcordiaAlumni",1
1156,1156,face masks,@thehill Enough of this #Plandemic2020  #FireFauci #InvestigateBillGates,0
2852,2852,stay at home orders,@fiktshun @MayorOfLA What are you doing to care? In #Vermont we are ALL doing our part because We :green_heart: #Vermonters!,1
4243,4243,school closures,"Alcohol was banned with immediate effect because it provides no tenders for creedy comorates, school will proceed due to the fact that they have tenders in schools, ppes, feeding schemes, transportation, etc",2
3759,3759,school closures,Just close the schools and promote each and every learner i mean this education system is all about producing factory faults.,1
3080,3080,stay at home orders,"@StephenMcNeil feel free to open up Marijuana Shops other than the liquor store for additional revenue for the Province? Use whatever talent many thought you had when you were voted in.
#backtobusiness 
#EnoughIsEnough #CorruptionInGovernment",2
2829,2829,stay at home orders,@CDCDirector Not my kids. They aren't dying for Trump!,1
578,578,face masks,"@davidicke I've had enough of this madness,I've seen and heard of false covid-19 cases.What happened is our care homes to people we love, is unthinkable.Small business are going down (myself included) and more.We need to take are country back.

We need to do something now!",2
4250,4250,school closures,@AmitCTweets @vijayrupanibjp @myogiadityanath @DrRPNishank @mlkhattar @msisodia @NitishKumar @OfficeofSSC @OfficeofUT @swarup58 @PandaJay No Crime can be bigger than  the  crime  of  halting teaching by Private Schools.,2
4182,4182,school closures,"Please note:
1. COVID-19 is roughly a 3% Lethality Rate for youth.
2. More likely to effect 0-6 &amp; 50- *
3. It’s very fast spreading
4. You will be FINE. Don’t stress fam
#CoronavirusPandemic #CoronaVirusUpdate",2
2802,2802,stay at home orders,"The objectives of the Victorian government's measures are twofold:
- to reduce the number of people moving around
- to reduce workplace transmissions
These goals need to be kept in mind by all of us or we'll be in ""lockdown"" for longer than we need to.",1
1821,1821,fauci,"Notice 2 things in this exchange: 1) Predictibly, Rand Paul is the only Senator willing to represent the truth on this issue without pulling punches 2) Fauci is an extremely effective and manipulative speaker. No wonder he keeps convincing @realDonaldTrump #coronavirus",2
1710,1710,fauci,@QTEAM1776 @mr_squeege Bitchin'!!! #BigPharma #Scamdemic #Plandemic #MedicalTyranny #arrestbillgates2020,2
2942,2942,stay at home orders,More worrying than covid mum and daughter is that my son of only 28 months old attempts to move off of pavements to avoid people. This country is too much.,2
4280,4280,school closures,"Hearing rumblings of a stay-at-home order for Texas w/in 24 hours.  @GovAbbott, don't do it.  Stay the course.

Dusting off my civil disobedience manual.  #TexasCOVID #TexasCovid19 #HerdImmunity",2
620,620,face masks,The article in the Mail on Sunday by @ClarkeMicah (Peter Hitchens) is brilliant. I only wish more journalists were like him and ‘awake’ to the fact we’re being played. #Scamdemic #covid1984,2
3032,3032,stay at home orders,@JosephJFlynn1 Absolutely. I'm sure someone who does this sort of thing can go back and count how many times @realDonaldTrump raised this and how many times Fauci dismissed it and how many scathing stories MSM had on it. @IngrahamAngle was on top of this from start.,2
2781,2781,stay at home orders,"#Florida @GovRonDeSantis is an irresponsible nut job. 

#Covid19 #WearAMask ",1
2888,2888,stay at home orders,"@CherokeePhoenix An informed, intelligent decision.
Who would volunteer to pied piper our children into an oblivion based on ""need to get economy going?""
This is a gamble, an experiment with our most precious Lives.",1
