,premise,text,stance
0,face masks,WEAR A MASK #coronavirus HTTPURL,0
1,face masks,Wear . A . Mask . #Covid_19 HTTPURL,0
2,face masks,@USER Put a mask on #CoronaVirus HTTPURL,0
3,face masks,What a waste #coronavirus,0
4,face masks,Wear a mask . That is all . #COVID19 #WearAMask,0
5,face masks,#Coronavirus Stay Safe,0
6,face masks,Friendly PSA : Wear a Mask . #COVID19 HTTPURL,0
7,face masks,Project face wear #Coronavirus,0
8,face masks,Way of the mask #COVID19 HTTPURL,0
9,face masks,New mask ! #mask #covid19 #science HTTPURL,0
10,face masks,A #facemask is better than a #ventillator ... #COVID19 HTTPURL,0
11,face masks,Stay home #Coronavirus,0
12,face masks,"We need a federal mask mandate . If you are out in public , you are wearing a mask . #Covid_19",0
13,face masks,new normal #COVID19 HTTPURL,0
14,face masks,Who is wearing a mask out ? :face_with_medical_mask: #coronavirus #SaferAtHome,0
15,face masks,Use mask :face_with_medical_mask: #COVID-19 #StayHome HTTPURL,0
16,face masks,BEST . MASK . EVER . #Corona HTTPURL,0
17,face masks,Social Distancing #COVID19 HTTPURL,0
18,face masks,Wow so president Trump refuses to wear a mask but everyone else has to ? #Covid19,0
19,face masks,People who recognize you while wearing a face mask are Annoying :neutral_face: #Covid_19 :face_with_medical_mask:,0
20,face masks,#coronavirus I am so sick and tired of seeing videos online of people getting angry and fighting people for being asked to wear a face mask . My face mask protects you and your face mask protects me . Just wear a damn face mask . #MasksSaveLives #MaskUp #mask,0
21,face masks,Stay the fuck at home #COVID19 HTTPURL,0
22,face masks,Why Masks ? #COVID19 HTTPURL,0
23,face masks,If I told you wearing your mask is a life or death situation would you wear all the time ? #coronavirus HTTPURL,0
24,face masks,So Bolsonaro tested positve to #COVID19 and is still not wearing a mask,0
25,face masks,How can a paper thin mask protect you from the #coronavirus,0
26,face masks,Our Design #fashionfacemask #washablefacemask #COVID19 HTTPURL,0
27,face masks,Got my mask #CoronaVirus #Mask #COVID19 HTTPURL,0
28,face masks,"WEAR N95 MASK , WEAR FACE SHIELD , WEAR GLOVES , MAINTAIN SOCIAL DISTANCING #Covid_19",0
29,face masks,All this is getting a little too much #Coronavirus,0
30,face masks,#Coronavirus be safe,0
31,face masks,Attention all anti-maskers . #COVID19 HTTPURL,0
32,face masks,#COVID19 has a lot to answer for :face_with_tears_of_joy:,0
33,face masks,Wear your mask . Wash your hands . #StaySafe #COVID19 HTTPURL,0
34,face masks,Do not touch your face .. #coronavirus,0
35,face masks,WEAR A FUCKING MASK ! #COVID19 #BLM #BreonnaTaylor HTTPURL,0
36,face masks,I need this face mask :face_with_tears_of_joy: :face_with_tears_of_joy: #COVID19 #day37oflockdown HTTPURL,0
37,face masks,Real thugs wear mask too :face_with_medical_mask: #coronavirus,0
38,face masks,Just saying #COVID19 #StayHome HTTPURL,0
39,face masks,Wearing a mask is not about freedom . It 's about health . Like a cpap or oxygen mask . #WearAMask #covid19 HTTPURL,0
40,face masks,Please always use a face mask . #coronavirus #Covid_19 @USER HTTPURL,0
41,face masks,Getting snacks #covid19 HTTPURL,0
42,face masks,Anyone have a recommendation for non surgical face masks ? #coronavirus #California,0
43,face masks,Wait fuck that #coronavirus,0
