,Unnamed: 0.1,Unnamed: 0,premise,text,stance
1730,1730,1730,Holy communion cannot be the cause of the spread of coronavirus,Coronavirus: Disease won’t affect my church members – Pastor Adeboye https://t.co/I1eo5vcdta https://t.co/Hsa4KIs3Pv,1
420,420,420,Coronavirus is genetically engineered.,Why wasn't he asked if he agrees with his mob boss that Covid-19 is a hoax perpetrated by the Dems to hurt him? Why even have these conversations if the president himself says things so reckless and irresponsible? https://t.co/bHqHWU8f2C,0
872,872,872,Fennel tea cures coronavirus.,"Read a Twitter Doctor saying there's 2 cures to the ongoing CoronaVirus (COVID19), one is a simple herbal tea mixed with lemon &amp; honey, and the second one is by using high frequency noises, the higher the frequency the faster it could cure you...
That's enough Twitter for today.",2
1110,1110,1110,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"Panic is the result of fear. Fear is the result of confusion. Confusion is the result of what happens when the president lies to the American people about what is happening with a virus on the edge of becoming a #pandemic.

#CONVID19 #CoronaVirus",0
233,233,233,Holy communion cannot be the cause of the spread of coronavirus,"You idiots. Corona beer is the vaccine to, NOT the cause of the virus.",0
301,301,301,Vitamin C can prevent coronavirus circulation.,"Another important vitamin to boost your immune system is vitamin B6. Can get it from food, if you don't practice healthy eating habits for a while, it might take longer for you to build it up by food just to protect yourself from Corona virus.",0
2018,2018,2018,Vitamin C cures coronavirus.,"Panic buying has started over fear of the coronavirus. Toilet paper, bottled water, and face masks are the biggest sellers. A virus is small. A face mask will not stop it. Tap water has chemicals that kill germs. Bottled water doesn’t. Toilet paper... ??? Get a grip people!",0
252,252,252,COVID-19 is only as deadly as the seasonal flu.,"@USERNAME ""Covid-19 reaches peak infectiousness shortly after people start to feel sick, spreading in the manner of the flu.

""There have been reports of people transmitting the virus before they show symptoms, probably not a major driver of new infections.""",0
1028,1028,1028,We're very close to a vaccine.,"@USERNAME @USERNAME Which is extremely important for buying time to develop treatments and eventually a vaccine. Only 0.006% of China’s population has caught it, only 0.0002% have died.  I’m a country of 1.5billion, that is significant to remember.",0
9,9,9,Coronavirus can only survive in cold temperatures.,"@USERNAME @USERNAME @USERNAME 9 days is for a related corona virus, not Covid-19, under IDEAL conditions. From memory, 40 F, high humidity and no sunlight. But hours is apparently quite possible.",0
