,Unnamed: 0.1,Unnamed: 0,premise,text,stance
7,7.0,7.0,SARS-CoV-2 can survive for weeks on surfaces.,"Looks like COVID-19 could have been spreading in the US for a lot longer than anticipated, but was not picked up because of criteria for risk and testing https://t.co/B6iJBC9IMw",0
592,,,We're very close to a vaccine.,Looks like we 'll blow past 60k #coronavirus cases today .,0
490,490.0,490.0,Coronavirus is caused by 5G.,How Prepared Is the U.S. for a Coronavirus Outbreak? https://t.co/5XFYdoz7i7,0
816,,,COVID-19 is only as deadly as the seasonal flu.,#COVID19 is still a real health threat .,2
147,,,Holy communion cannot be the cause of the spread of coronavirus,The middle class is going to be in debt now and will be in debt post the #CoronaVirus,0
146,,,Holy communion cannot be the cause of the spread of coronavirus,The reality of the current situation #Covid_19 #coronavirus HTTPURL,0
1493,1493.0,1493.0,Coronavirus is genetically engineered.,@USERNAME @USERNAME I am very interested in where/what the source of COVID-19 turns out to be. What I do know is that the State Department was responsible for the order to fly potentially exposed individuals into the country to be met by inadequately trained teams with insufficient protective gear.,0
616,,,SARS-CoV-2 can survive for weeks on surfaces.,What does science say about the origin of the SARS-CoV - 2 #coronavirus ? Why the controversies ? HTTPURL HTTPURL,0
1213,1213.0,1213.0,Coronavirus is genetically engineered.,"@USERNAME Here's the deal. Almost every virus we normally talk about is a Coronavirus. The common cold is a Coronavirus. The Flu is a Coronavirus.

So, the symptoms of this NOVEL or unique strain of this particular Coronavirus, will certainly resemble a cold or fever.",0
576,,,We're very close to a vaccine.,Trump : “ We 're having to fix a problem that four weeks ago nobody ever thought would be a problem ... You read about them from 1917 ... this came out of nowhere and .. actually it came out of China which is the way it works ” #DonaldTrump #Covid_19 #CoronaVirusUpdate #coronavirus HTTPURL,0
1738,1738.0,1738.0,Coronavirus can only survive in cold temperatures.,Study finds that Coronavirus could survive up to NINE DAYS outside the body https://t.co/vRPwrdlSWm https://t.co/txPcwqh0QO,0
1276,1276.0,1276.0,SARS-CoV-2 can survive for weeks on surfaces.,Study finds that Coronavirus could survive up to NINE DAYS outside the body | Daily Mail Online https://t.co/8vc98XGN7Q via @USERNAME,1
572,,,We're very close to a vaccine.,"Trump on people w / o health insurance w / #coronavirus :  They have a big problem & we 're going to look at the uninsured people that , you know , this came out as a surprise to all of us . It just happened . It shows what can happen in life ...  HTTPURL 03 #FBR",0
308,308.0,308.0,SARS-CoV-2 can survive for weeks on surfaces.,There is no reason why we don't follow the same model as China we will have the same problems we will be quarantined they will spray and that's what bothers me is they're not telling us that it survives on surfaces for a length of time..SO THE GOVT QURNTINES &amp; SPRAYS.. -cont,1
777,,,Coronavirus can only survive in cold temperatures.,@USER Moderate to heavy rainfall at night is good to wash away #Coronavirus #COVID19 on most outside surfaces .,0
1561,1561.0,1561.0,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"@USERNAME You are quite entitled to your beliefs, as am I. I cannot stand the gross misrepresentation of facts and the growing partisan divide. Today a person died of Covid 19. Yesterday our President called the potential pandemic a hoax perpetrated by Democrats.",0
1003,1003.0,1003.0,Holy communion cannot be the cause of the spread of coronavirus,"7. The Church has the right to permit the laity to receive Holy Communion in the hand. She is in charge of the sacraments. If she, through her lawful authorities, requests that people consider receiving in this way during an outbreak of illness, that request should be...",0
1333,1333.0,1333.0,Hand sanitiser sold commercially does not destroy the coronavirus.,"@USERNAME Just go buy a bottle of Lysol Disinfectant Wipes or Spray &amp; read the back label, it claims to eliminate ""Human Coronavirus."" They have known for years about this virus &amp; have an old formula collecting dust somewhere, All it probably needs is tweaked up a little to cure people.",0
1592,1592.0,1592.0,Coronavirus is caused by 5G.,"Coronavirus is spreading through communities on the West Coast.
https://t.co/XJMtVmr5mZ",0
1461,1461.0,1461.0,A person can tell if they have coronavirus or not simply by holding their breath.,"@USERNAME @USERNAME @USERNAME They define ""close contact"" this way: A close contact is a person who has been within about 6 feet of a person with confirmed novel coronavirus infection for a prolonged period of time or has had direct contact w/secretions from a person w/confirmed novel coronavirus infection.",0
418,418.0,418.0,Avocado and mint tea cures coronavirus.,"15. Disoproxil and Dolutegravir and hepatitis C therapeutic drugs including Boceprevir and Telaprevir,"" according to Li's study.

The conclusion is in line with several reports from doctors who self-administered HIV drugs after testing positive for coronavirus,",0
572,572.0,572.0,Avocado and mint tea cures coronavirus.,"@USERNAME Proper hand washing, disinfecting of surfaces and usage of Lysol as ways to avoid infection by the Coronavirus.  (Hint .. it works for colds and flu bugs, too.)",0
174,,,Africans are more resistant to coronavirus.,This crazed reaction to the #coronavirus is categorically moronic .,0
622,,,SARS-CoV-2 can survive for weeks on surfaces.,"Since #coronavirus ( COVID - 19 ) can live on surfaces for as long as a few days , it 's important to make sure you are cleaning high-touch items and areas thoroughly . Here 's what some of those hot spots are ! HTTPURL",0
168,,,Africans are more resistant to coronavirus.,#Coronavirus can some one tell me how it spreaded .,0
619,,,SARS-CoV-2 can survive for weeks on surfaces.,The #WHO has recognized that SARS-CoV - 2 can be transmitted through the air . #Aerosol #detection will be a key player in reducing the impacts of COVID - 19 . HTTPURL #Biotechnology #PublicHealth #CANARY_COVID #COVID19,0
1596,1596.0,1596.0,Hand sanitiser sold commercially does not destroy the coronavirus.,Do Cleaning Products and Sanitizers Prevent Coronavirus? | Time https://t.co/pmQnMkuaLR,0
1685,1685.0,1685.0,SARS-CoV-2 can survive for weeks on surfaces.,A group of Indian scientists have discovered that Wuhan Coronavirus has been engineered with AIDS like insertions. The study concludes that it is unlikely for a virus to have acquired such unique insertions naturally in a short duration of time.,0
589,589.0,589.0,Coronavirus can only survive in cold temperatures.,"@USERNAME reasons this can be considered offensive:
the coronavirus cannot be retained in a parcel of any kind. when a package is shipped, the temperatures changes too much for it to actually survive. are you scared to open a parcel in fear that you may get the flu? no.",0
453,453.0,453.0,The lifetime of SARS-CoV-2 is only 12 hours.,"@USERNAME @USERNAME @USERNAME @USERNAME @USERNAME They weren't necessarily asymptomatic either.  They may have had a severe cold or worse.  We only started testing for SARS-CoV2 a few days ago, unless they were known to have traveled to China, or known to have been in contact with someone who tested positive.  Irresponsible CDC",0
2043,2043.0,2043.0,SARS-CoV-2 can survive for weeks on surfaces.,CoVid-19 is the general unwellness that SARS-CoV-2 causes,0
57,,,Fennel tea cures coronavirus.,JK the studio is closed indefinitely for #coronavirus .,0
598,598.0,598.0,COVID-19 is only as deadly as the seasonal flu.,"@USERNAME Some of the reports are inflated and some are under inflated. If covid-19 was as contagious as smallpox, half of China would be infected right now. There is just under 80,000 confirmed infections in a country that has 1.4 billion people. Do the math, not as contagious as smallpox",0
1035,1035.0,1035.0,Coronavirus is caused by 5G.,@USERNAME says that the #coronavirus is caused by eating red meat,0
1556,1556.0,1556.0,Coronavirus is caused by 5G.,"coronavirus is caused by eating ass, pass it on",0
718,,,Vitamin C cures coronavirus.,"There is no cure for the #Coronavirus , but using soap and water to wash your hands kills it ? Am i missing something ?",0
620,620.0,620.0,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","Important comparison with a caveat. This data n=1099 was taken on Jan 29th, when much (40~50%) hospital beds in Wuhan was taken up by infected health care worker, which skewed the age distribution.

It does not mean younger people per se get disproportionally more sick than flu. https://t.co/XicC1B4Ens",0
356,356.0,356.0,The lifetime of SARS-CoV-2 is only 12 hours.,"Eurosurveillance | Differential diagnosis of illness in patients under investigation for the novel coronavirus (SARS-CoV-2), Italy, February 2020 https://t.co/TvSkEUJMX8",0
