,Unnamed: 0.1,Unnamed: 0,premise,text,stance
1831,1831.0,1831.0,Coronavirus is genetically engineered.,What the COVID-19 outbreak reveals about the human-nature disconnect https://t.co/uuFZGoTROm https://t.co/QhRQXtCYYY,0
637,637.0,637.0,Fennel tea cures coronavirus.,"India starts hunt for alternatives to China to source over 1k items

From textiles fabrics, refrigerators and suitcases to antibiotics such as amoxicillin
, erythromycin metronidazole, vitamins&amp;insecticides,  govt has begun a hunt for 1,050 items
#CoronaVirusUpdate https://t.co/e1OBaqL2IE",0
1708,1708.0,1708.0,Holy communion cannot be the cause of the spread of coronavirus,"Because of the coronavirus my archdiocese has requested:
no sign of peace;
no holding hands during the Our Father;
no communion on the tongue.

There have been 0 (ZERO) cases of coronavirus here.",2
796,796.0,796.0,Africans are more resistant to coronavirus.,Who is vulnerable to coronavirus? So far children appear safe from COVID-19 https://t.co/yQhvZYRK6x,0
620,620.0,620.0,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","Important comparison with a caveat. This data n=1099 was taken on Jan 29th, when much (40~50%) hospital beds in Wuhan was taken up by infected health care worker, which skewed the age distribution.

It does not mean younger people per se get disproportionally more sick than flu. https://t.co/XicC1B4Ens",0
1638,1638.0,1638.0,Holy communion cannot be the cause of the spread of coronavirus,Some Southern California Catholic churches alter communion services amid coronavirus concerns https://t.co/mACvpQzJJm,2
435,435.0,435.0,Coronavirus is genetically engineered.,@USERNAME @USERNAME This virus is a bio weapon sold to China during the Obama administration. It has been modified for race specific characteristics. Dr Francis Boyle is the expert on bioLogical weapons and he should be consulted NOW!,1
1706,1706.0,1706.0,The lifetime of SARS-CoV-2 is only 12 hours.,"Since I know this probably won't make it to US headlines, I just wanted to highlight that two women from the University of São Paulo (USP) in Brazil were able to do the genome sequencing of the COVID-19 in two days when the global average is 15 days. https://t.co/lSdC8gncxG",0
1795,1795.0,1795.0,The lifetime of SARS-CoV-2 is only 12 hours.,"If you believe the numbers coming out of China, the lethality of COVID-19 has risen to 3.59%. Flu mortality rate is .1% https://t.co/1cOeUBt9Vr",0
917,917.0,917.0,The lifetime of SARS-CoV-2 is only 12 hours.,"@USERNAME @USERNAME The problem here is not the death rate of 2%, SARS was higher. 

The up to 14 days incubation time causes severe problems and explains why so much countries have Covid-19 cases. If it will come to a real pandemic the economy will crash and a vaccine is a year away.",0
307,307.0,307.0,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"Dr. Eric Toner, at Johns Hopkins Health Center said, “I hope &amp; pray Covid-19 turns out to be a moderate pandemic, but if not, we’re in serious trouble.”
“Even during mild flu pandemics, most of #US ICUs are filled to the brim with severely ill patients on mechanical ventilation.”",0
295,295.0,295.0,Hand sanitiser sold commercially does not destroy the coronavirus.,@USERNAME There's evidence that exclusive breastfeeding will help to protect babies from coronavirus. It's less clear if the mother is infected. It appears that the main concern is the risk of proximity to an infected person. Milk that has been tested has not been found to have the virus.,0
1477,1477.0,1477.0,A person can tell if they have coronavirus or not simply by holding their breath.,"Masks primarily prevent a person from giving the disease to someone else. 
There are limits to how a mask can protect you from being infected. 
The most important thing everyone can do is wash your hands, keep your hands away from your face and very precise hygiene. #coronavirus https://t.co/yND8YmGtB7",0
559,559.0,559.0,Holy communion cannot be the cause of the spread of coronavirus,"The spread of coronavirus is fundamentally a political problem caused by apathy, ignorance and beliefs (contentment with ignorance). https://t.co/f5xwUgSj6N",0
1458,1458.0,1458.0,We're very close to a vaccine.,"@USERNAME Donny, remember when you said the FLU was more deadly than the Coronavirus? Or that we were very close to an antidote? You're a JACKASS! #MoronInChief #LiarInChief #IMPOTUS",0
693,693.0,693.0,Coronavirus is genetically engineered.,"Coronavirus causes MANY illnesses, depending on the strain. Common colds are coronavirus. 
MERS &amp; SARS are also coronaviruses. 
COVID19 is apparently a robust strain that is very hard on the lungs, more dangerous to those with already-compromised immune or pulmonary  systems.",0
753,753.0,753.0,Africans are more resistant to coronavirus.,"@USERNAME East Asians, Japanese, and Han Chinese are the most likely people to become severely sick by the coronavirus with a chance of more than 90% when exposed. Europeans only rank in the 50%, Africans in the 60% range, and considered low to medium. https://t.co/lWyNQl4eLI",1
185,185.0,185.0,SARS-CoV-2 can survive for weeks on surfaces.,Study finds that Coronavirus could survive up to NINE DAYS outside the body | Daily Mail Online https://t.co/cOpLpNRiq9 via @USERNAME,1
1786,1786.0,1786.0,Hand sanitiser sold commercially does not destroy the coronavirus.,"Effective basic precautions against cold and flu viruses
To help prevent all respiratory illnesses including Coronavirus COVID-19:

Clean your hands often with soap and water or use alcohol-based hand sanitizer.
Cough and sneeze into the bend of your arm, not into your hand.",0
1140,1140.0,1140.0,We're very close to a vaccine.,"@USERNAME @USERNAME There’s a vaccine for flu.  In the USA you have to pay for it, most advanced countries don’t.  There’s no vaccine for coronavirus which means this virus spreads quicker and has a higher fatality rate. Plus the US have not had sufficient testing kits; it could be a time bomb.",0
286,286.0,286.0,Coronavirus is caused by 5G.,FEAR FAKERY AND MISINFORMATION  COVID -19 COVERAGE SET TO CAUSE MOR EHARM THAN THE VIRUS.,0
1544,1544.0,1544.0,Coronavirus is genetically engineered.,"Trump thinks the Coronavirus is a hoax. 
We are all fucked.",0
1099,1099.0,1099.0,Coronavirus is genetically engineered.,Corona virus is probably just a government population control mission. It’ll buff.,1
2007,2007.0,2007.0,We're very close to a vaccine.,"@USERNAME Brett, we are nowhere close to a vaccine for corona",2
1317,1317.0,1317.0,Coronavirus is genetically engineered.,"Coronavirus has literally warped the physics of space-time.

When Americans look at Italy and Iran, they’re looking two weeks into the future.",0
937,937.0,937.0,Coronavirus is genetically engineered.,Liars Brian Williams and Michael Moore Smear President Trump on MSNBC as Falsely Saying Coronavirus Is a Hoax https://t.co/LOvTrMzCo1 via @USERNAME,0
397,397.0,397.0,Coronavirus is genetically engineered.,"Foreign envoys praise Taiwan's quick response to COVID-19 threat
https://t.co/KJnhQVrcor",0
968,968.0,968.0,SARS-CoV-2 can survive for weeks on surfaces.,Coronavirus can live on common surfaces for nine days https://t.co/AeuZmNpKU2,1
696,696.0,696.0,Hand sanitiser sold commercially does not destroy the coronavirus.,"@USERNAME Please get the FDA to approve ambroxol and make it available immediately. The German makers donated it to China because it can lessen the effect of coronavirus.

https://t.co/vq9KswkVng",0
485,485.0,485.0,Holy communion cannot be the cause of the spread of coronavirus,"Coronavirus: Catholic Archdiocese of Lagos suspends sign of peace, direct priests to give communion on the palms https://t.co/Ksx37IC6fh https://t.co/xSj2RYvegm",0
526,526.0,526.0,Coronavirus is genetically engineered.,Coronavirus is just a test to see who washes their hands or not,0
325,325.0,325.0,Avocado and mint tea cures coronavirus.,"It's probable @USERNAME caught Rhinovirus not Coronavirus. Get many doses of good chicken soup, run humidifier and bundle up for a few days. In future use zinc lozenges at the very first twinge of cold symptoms.  It works astoundingly well in reducing severity of colds. https://t.co/NJvqjSONe7",0
1275,1275.0,1275.0,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,VERIFY: Dean Koontz did not predict the coronavirus outbreak in his 1981 book https://t.co/3yfN9ard2S via @USERNAME,2
1730,1730.0,1730.0,Holy communion cannot be the cause of the spread of coronavirus,Coronavirus: Disease won’t affect my church members – Pastor Adeboye https://t.co/I1eo5vcdta https://t.co/Hsa4KIs3Pv,1
1157,1157.0,1157.0,Holy communion cannot be the cause of the spread of coronavirus,Corona virus outbreak teaches us that the measure of health of a whole country is only as good as the health of the remotest and weakest citizen in the country. So public health care policy should aim at increase the height floor height rather than ceiling height.,0
1372,1372.0,1372.0,Coronavirus is genetically engineered.,"Coronavirus is regular flu with a fake story attached.
Climate change is a real thing but isn't man made or affected by CO2 levels. https://t.co/1HxOZGHBUB",0
1923,1923.0,1923.0,Coronavirus is caused by 5G.,Coronavirus is spread via eye contact.,0
1656,1656.0,1656.0,Coronavirus is genetically engineered.,"The coronavirus was found to be man made. It didnt perform as expected, killing millions. If you have a good immune system, you beat it easily. It's a hoax. https://t.co/yQH1e8pQph",1
941,941.0,941.0,Coronavirus is caused by 5G.,"FOFLMAOTTC FOFLMAOTTC 
Fact: Coronavirus is spread by sneezing and coughing in close contact with other people.
Fact: NIH believes it lives on surfaces up to 9 days.
Fact: secondary exposure is increasing.
Theory: what do you think the odds are here?
FOFLMAOTTC FOFLMAOTTC https://t.co/exFp5iwyH0",0
1166,1166.0,1166.0,A person can tell if they have coronavirus or not simply by holding their breath.,"@USERNAME @USERNAME how does a disease with no vaccine target people who are anti-vaccine-for-other-diseases?

if you got a measles vaccine or not has no impact on if you can / will get corona virus",0
457,457.0,457.0,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,Wuhan-400 #CoronavirusUpdate – 1981 Novel Predicts Virus Origin: The Eyes of Darkness https://t.co/CwLlO04pz9 via @USERNAME,1
1545,1545.0,1545.0,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"Delusion? With 15-20% needing hospitalization?

""Gardham said that now makes Canada better prepared than many other countries to respond to a pandemic — with the caveat that most of the country's hospitals are now at 100 per cent capacity.""

https://t.co/WvWVBSVYIG",0
1321,1321.0,1321.0,Fennel tea cures coronavirus.,"Thanks to the media-sparked corona virus hysteria some people here in Germany have started panic buying goods like noodles, canned bread and water. Amazing.",0
810,810.0,810.0,Coronavirus is genetically engineered.,Coronavirus and influenza comparison is really invalid. Influenza spread is minimized because many of us including me are vaccinated. No protection against spread of highly contagious corona virus.,0
1798,1798.0,1798.0,Holy communion cannot be the cause of the spread of coronavirus,"Coronavirus symptoms UK: Why you could be infected without even realising, expert claims https://t.co/3ART7FMlLV https://t.co/8ezeCc5PWG",0
1287,1287.0,1287.0,The lifetime of SARS-CoV-2 is only 12 hours.,"some good news: in 48 hours, University of Sao Paulo and Oxford University scientists decoded the COVID-19 genome of the 1st infected case in Brazil. Scientists around the world take at least 15 days to do so. This will help to study mutations and track the epidemy route.",0
522,522.0,522.0,We're very close to a vaccine.,@USERNAME @USERNAME @USERNAME It's a good move to curtail travel back and forth from a number of countries. But on another point one of the only way we can fight Covid-19 is to quarantine cities as Italy and China did. You don't see that with seasonal flu because we are used to it even though it's a killer.,0
390,390.0,390.0,Holy communion cannot be the cause of the spread of coronavirus,"Coronavirus will not locate you and your family . Even when u unknowingly come in contact with an infected person, the blood of the lamb protects u from any form of harm. 
Luke 10:19 - Nothing shall “by any means” hurt you. Just be careful guys 👏🏿👏🏿👏🏿",0
