,Unnamed: 0.1,Unnamed: 0,premise,text,stance
624,,,SARS-CoV-2 can survive for weeks on surfaces.,"New info on virus viability on surfaces : HTTPURL ( unpublished ) 3 hours in aerosol , up to 4 hours on copper , up to 24 hours on 37 cardboard and up to 2-3 days on plastic and stainless steel . #covid19 #covid19FOAM",1
621,,,SARS-CoV-2 can survive for weeks on surfaces.,"But how long can the new #coronavirus linger on surfaces : A new analysis found that the virus can remain viable : • On Air for up to 3 hours , • On Copper for up to 4 hours , • On Cardboard up to 24 hours and • On Plastic and stainless steel up to 72 hours HTTPURL",1
1177,1177.0,1177.0,Coronavirus can only survive in cold temperatures.,"@USERNAME @USERNAME If they mean outside of the body, then No, that's not true. Coronaviruses can survive on surfaces for several days at room temp. 

Precise data is still pending for COVID19. But it's very similar to SARS. Here's some data on temperature sensitivity of SARS
https://t.co/BOOx7VFwU0",0
640,,,SARS-CoV-2 can survive for weeks on surfaces.,17 days the #Covid19 stayed alive onboard a cruise ship . Yuck !,0
331,331.0,331.0,SARS-CoV-2 can survive for weeks on surfaces.,Eurosurveillance | Stability of Middle East respiratory syndrome coronavirus (MERS-CoV) under different environmental conditions https://t.co/oULqM4czlq,0
109,109.0,109.0,SARS-CoV-2 can survive for weeks on surfaces.,"Coronavirus shuts down 2 West Coast schools. Experts aren’t certain how long the coronavirus can live outside the body, Ko said, though its cousins — SARS and MERs — can survive on surfaces up to nine days. https://t.co/yJiqlMtSA2",0
600,600.0,600.0,SARS-CoV-2 can survive for weeks on surfaces.,"Due to the dangers of Novel Coronavirus (Covid-19) and the fact it can live for 9 days on surfaces, every sheriff department US wide has declared they will test your meth and other drugs for coronavirus at no charge to you. Retweet to pass it on. You could save a life.",0
2093,2093.0,2093.0,Coronavirus is genetically engineered.,"@USERNAME @USERNAME Is it bioengineered? I can't say. 
Is it germ warfare? There is NO WAY China would deliberately unleash a virus that disproportionately affects Asian people, in its own country, to crash THEIR OWN ECONOMY, to MAYBE influence someone else's election.
U.S. isn't that special.",0
94,94.0,94.0,SARS-CoV-2 can survive for weeks on surfaces.,"@USERNAME @USERNAME @USERNAME @USERNAME ""...coronavirus infections most often occur during the winter months and early spring. ...coronavirus and may catch the same one about 4 months later.
This is because coronavirus antibodies do not last for a long time."" 

So.  We are doomed. 

https://t.co/GEtXXGZb1C",0
618,,,SARS-CoV-2 can survive for weeks on surfaces.,"SARS-CoV - 2 droplets travel further and last longer than thought , and even more in humid air HTTPURL @USER #Coronavirus #Pandemic #Tuberculosis #Virus #COVID19 #SARSCoV2 HTTPURL",0
