,Unnamed: 0.1,Unnamed: 0,premise,text,stance
637,637.0,637.0,Fennel tea cures coronavirus.,"India starts hunt for alternatives to China to source over 1k items

From textiles fabrics, refrigerators and suitcases to antibiotics such as amoxicillin
, erythromycin metronidazole, vitamins&amp;insecticides,  govt has begun a hunt for 1,050 items
#CoronaVirusUpdate https://t.co/e1OBaqL2IE",0
1708,1708.0,1708.0,Holy communion cannot be the cause of the spread of coronavirus,"Because of the coronavirus my archdiocese has requested:
no sign of peace;
no holding hands during the Our Father;
no communion on the tongue.

There have been 0 (ZERO) cases of coronavirus here.",2
1297,1297.0,1297.0,Coronavirus is genetically engineered.,COVID-19 detection measures are expected to tighten in Greek ports https://t.co/uSL4Jf92C3,0
796,796.0,796.0,Africans are more resistant to coronavirus.,Who is vulnerable to coronavirus? So far children appear safe from COVID-19 https://t.co/yQhvZYRK6x,0
610,610.0,610.0,Vitamin C can prevent coronavirus circulation.,Ozone can be used to destroy the new coronavirus and disinfect areas. @USERNAME https://t.co/d4f5vNqETG,0
620,620.0,620.0,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","Important comparison with a caveat. This data n=1099 was taken on Jan 29th, when much (40~50%) hospital beds in Wuhan was taken up by infected health care worker, which skewed the age distribution.

It does not mean younger people per se get disproportionally more sick than flu. https://t.co/XicC1B4Ens",0
1638,1638.0,1638.0,Holy communion cannot be the cause of the spread of coronavirus,Some Southern California Catholic churches alter communion services amid coronavirus concerns https://t.co/mACvpQzJJm,2
435,435.0,435.0,Coronavirus is genetically engineered.,@USERNAME @USERNAME This virus is a bio weapon sold to China during the Obama administration. It has been modified for race specific characteristics. Dr Francis Boyle is the expert on bioLogical weapons and he should be consulted NOW!,1
1706,1706.0,1706.0,The lifetime of SARS-CoV-2 is only 12 hours.,"Since I know this probably won't make it to US headlines, I just wanted to highlight that two women from the University of São Paulo (USP) in Brazil were able to do the genome sequencing of the COVID-19 in two days when the global average is 15 days. https://t.co/lSdC8gncxG",0
917,917.0,917.0,The lifetime of SARS-CoV-2 is only 12 hours.,"@USERNAME @USERNAME The problem here is not the death rate of 2%, SARS was higher. 

The up to 14 days incubation time causes severe problems and explains why so much countries have Covid-19 cases. If it will come to a real pandemic the economy will crash and a vaccine is a year away.",0
1112,1112.0,1112.0,Fennel tea cures coronavirus.,"Hangover is being mistaken for a corona virus, menudo and a Gatorade will clear you up haha https://t.co/VVW6XcHYLH",0
