,Unnamed: 0.1,Unnamed: 0,premise,text,stance
381,381,381,Coronavirus is genetically engineered.,@USERNAME You are an out of control danger to the people. You’re spreading deliberate lies. Coronavirus 19 is NOT man made. It (like other Conrona Viruses) was passed from animal to human. Wild game eating from a local market in Wuhan is what’s most likely. Get it straight.,2
899,899,899,Hand sanitiser sold commercially does not destroy the coronavirus.,Of course I ran out of all my hand sanitizer today &amp; I can't even replace it cause it's sold out everywhere. I dunno why people are even buying it for Coronavirus since it's antibacterial &amp; doesn't prevent that or flu. Smh.,1
1952,1952,1952,COVID-19 is only as deadly as the seasonal flu.,"Please ignore the MSM on COVID-19. In the U.S. alone, the flu has caused an estimated 26 million illnesses, 250,000 hospitalizations and 14,000 deaths this season, according to the Centers for Disease Control and Prevention (CDC).
https://t.co/cNy8HsiEuG https://t.co/B3g5POZWyX",1
11,11,11,A person can tell if they have coronavirus or not simply by holding their breath.,"well just learned it was fake! y’all are stupid. anyway check for coronavirus by holding your breath for 10 secs, if you don’t feel any tightness or start coughing you’re good. remember to always always wash your hands whenever possible and be alert https://t.co/XlBNpj8Sml",1
1247,1247,1247,Coronavirus can only survive in cold temperatures.,"One can only hope the #COVID19 coronavirus is like other coronavirus (influenza, SARS) and goes nearly dormant in the warm months while Israel readies the vaccine for market.",1
1559,1559,1559,Fennel tea cures coronavirus.,"Vitamin C, Zinc , Echinacea.  Prepare to make tea constantly throughout duration of coronavirus self quarantine.  I'm just taking educated guesses here.  We may all die from this, say ""la ilaha illallah"" a lot.  And take shahada on video chat even and start learning salat.",1
1829,1829,1829,COVID-19 is only as deadly as the seasonal flu.,"@USERNAME @USERNAME ""As of Feb. 28, 2020, the flu is showing much more of an impact on Americans than COVID-19.""

https://t.co/prLVOdpgMR",1
1068,1068,1068,Coronavirus can only survive in cold temperatures.,"@USERNAME I am not an expert, but temperature are key for corona virus spread. I feel virus cannot survive beyond certain temperatures. India 🇮🇳 most cities are touching 35'C + temperatures with dry weather. With summer coming in northern hemisphere we will drastic fall in #COVID2019 cases",1
2040,2040,2040,Coronavirus is genetically engineered.,"@USERNAME Every new engineered virus is made  more effective than the ones preceding it.For example, the new corona virus bio weapon has spikes on it which targets by attachment the lungs, nose, and upper respiratory system. There is a component which targets Asian men. High tech science.",1
1244,1244,1244,We're very close to a vaccine.,We already have a vaccine for them baby https://t.co/FcNBHLQMIM,1
417,417,417,Coronavirus can only survive in cold temperatures.,"@USERNAME There is no corona virus in Africa,  corona virus cant survive in hot weather.",1
1494,1494,1494,SARS-CoV-2 can survive for weeks on surfaces.,"@USERNAME It occurred to me that a lot of things over the last couple of months were shipped from China by Amazon and others. If the virus can live 2 to 3 days on a surface, could workers have touch the item is being shipped and left the virus on the items when the packaging?",1
1308,1308,1308,Holy communion cannot be the cause of the spread of coronavirus,"So..just curious.  If Coronavirus is transmitted by contact; why is it even a point that “receiving in the hand” is going to be somehow different than “receiving on the tongue” (even assuming you believe that the Eucharist would transmit disease, which I don’t).",1
189,189,189,COVID-19 is only as deadly as the seasonal flu.,"@USERNAME ""overall clinical consequences of Covid-19 may ultimately be more akin to those of a severe seasonal influenza (...fatality rate of approximately 0.1%) or a pandemic influenza (similar to those in 1957 and 1968) rather than...SARS or MERS""

https://t.co/RgSFbLMm7g",1
994,994,994,Coronavirus is genetically engineered.,Coronavirus is a bioweapon created by the Chinese government to stop the Hong Kong protests,1
439,439,439,COVID-19 is only as deadly as the seasonal flu.,I work in health &amp; was asked just this afternoon what I thought about covid-19. I said the same thing in regards to it being blown out of proportion &amp; that the flu is much more deadly of a virus. Side note: Getting money out of click bait is a genius idea https://t.co/RA30bGdRfy,1
448,448,448,Coronavirus is caused by 5G.,"The Coronavirus 5G Connection and Coverup https://t.co/8K7R64xCI7 via @USERNAME  Interesting Article! 
Did you know in Oct 1019 Wuhan rolled out 5G.
INOVIO- Vaccine makers , run by 2 men David Weiner(HIV ZIKA
Recently produced PCVH-1 &amp; 2, also works for FDA, a NWO AGENDA 2030",1
1474,1474,1474,SARS-CoV-2 can survive for weeks on surfaces.,Coronavirus could survive up to NINE DAYS outside the body https://t.co/5ntQdyYS0e via https://t.co/n4IqDQGUWz,1
430,430,430,Coronavirus can only survive in cold temperatures.,"@USERNAME 1/7 Re: Humidty, this is hardly surprising, as plenty of previous research showing SARS transmits less in humid and hot countries like Malaysia, Thailand and Philippines with almost zero community transmission https://t.co/76NFE8GcR6 and https://t.co/HPIjk0w5pc",1
1586,1586,1586,SARS-CoV-2 can survive for weeks on surfaces.,"@USERNAME Based on the delay through China Post, the odds are in your favor on this one; the virus only survives for 9 days on inorganic surfaces.",1
1816,1816,1816,We're very close to a vaccine.,@USERNAME It seems Isreal is working on.a vaccine for the corona virus and they're getting close would you deny Americans to.have it because of your anti Isreal stance,1
185,185,185,SARS-CoV-2 can survive for weeks on surfaces.,Study finds that Coronavirus could survive up to NINE DAYS outside the body | Daily Mail Online https://t.co/cOpLpNRiq9 via @USERNAME,1
1920,1920,1920,We're very close to a vaccine.,Israelis Claim They’ll Have a Coronavirus Vaccine Developed in the Next Few Weeks https://t.co/roD2mrLl3q,1
1084,1084,1084,Coronavirus can only survive in cold temperatures.,"@USERNAME I think it's because the southern hemisphere is warm. Flu season also occurs in winter. India, South and Central America are pretty much free of the virus. The cases they've had likely came from elsewhere. I predict the epidemic will subside when warmer weather arrives.",1
1099,1099,1099,Coronavirus is genetically engineered.,Corona virus is probably just a government population control mission. It’ll buff.,1
1309,1309,1309,Coronavirus can only survive in cold temperatures.,"@USERNAME @USERNAME @USERNAME @USERNAME Cases reported in Thailand and Singapore are the ones who visited China. Also, if you observe it is not spreading in THA and SING the way it is spreading in cold countries. Hence, Tropical weather is the key. Works to our advantage.",1
86,86,86,SARS-CoV-2 can survive for weeks on surfaces.,Coronavirus could survive up to NINE DAYS outside the body https://t.co/KWrHNAnj9U via @USERNAME,1
