,Unnamed: 0.1,Unnamed: 0,premise,text,stance
1831,1831,1831,Coronavirus is genetically engineered.,What the COVID-19 outbreak reveals about the human-nature disconnect https://t.co/uuFZGoTROm https://t.co/QhRQXtCYYY,0
637,637,637,Fennel tea cures coronavirus.,"India starts hunt for alternatives to China to source over 1k items

From textiles fabrics, refrigerators and suitcases to antibiotics such as amoxicillin
, erythromycin metronidazole, vitamins&amp;insecticides,  govt has begun a hunt for 1,050 items
#CoronaVirusUpdate https://t.co/e1OBaqL2IE",0
1708,1708,1708,Holy communion cannot be the cause of the spread of coronavirus,"Because of the coronavirus my archdiocese has requested:
no sign of peace;
no holding hands during the Our Father;
no communion on the tongue.

There have been 0 (ZERO) cases of coronavirus here.",2
1297,1297,1297,Coronavirus is genetically engineered.,COVID-19 detection measures are expected to tighten in Greek ports https://t.co/uSL4Jf92C3,0
796,796,796,Africans are more resistant to coronavirus.,Who is vulnerable to coronavirus? So far children appear safe from COVID-19 https://t.co/yQhvZYRK6x,0
786,786,786,Coronavirus is genetically engineered.,"US Reports First Death From COVID-19 

Dr. Amy Coburn|  Comments 
People need utilize proper BSL-3 biocontainment protocols to prevent spread of a virus. These viruses are routinely contained in rooms in research facilities housing infected animals. https://t.co/BPnCrl5iX3",0
610,610,610,Vitamin C can prevent coronavirus circulation.,Ozone can be used to destroy the new coronavirus and disinfect areas. @USERNAME https://t.co/d4f5vNqETG,0
620,620,620,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","Important comparison with a caveat. This data n=1099 was taken on Jan 29th, when much (40~50%) hospital beds in Wuhan was taken up by infected health care worker, which skewed the age distribution.

It does not mean younger people per se get disproportionally more sick than flu. https://t.co/XicC1B4Ens",0
1638,1638,1638,Holy communion cannot be the cause of the spread of coronavirus,Some Southern California Catholic churches alter communion services amid coronavirus concerns https://t.co/mACvpQzJJm,2
435,435,435,Coronavirus is genetically engineered.,@USERNAME @USERNAME This virus is a bio weapon sold to China during the Obama administration. It has been modified for race specific characteristics. Dr Francis Boyle is the expert on bioLogical weapons and he should be consulted NOW!,1
1706,1706,1706,The lifetime of SARS-CoV-2 is only 12 hours.,"Since I know this probably won't make it to US headlines, I just wanted to highlight that two women from the University of São Paulo (USP) in Brazil were able to do the genome sequencing of the COVID-19 in two days when the global average is 15 days. https://t.co/lSdC8gncxG",0
1795,1795,1795,The lifetime of SARS-CoV-2 is only 12 hours.,"If you believe the numbers coming out of China, the lethality of COVID-19 has risen to 3.59%. Flu mortality rate is .1% https://t.co/1cOeUBt9Vr",0
917,917,917,The lifetime of SARS-CoV-2 is only 12 hours.,"@USERNAME @USERNAME The problem here is not the death rate of 2%, SARS was higher. 

The up to 14 days incubation time causes severe problems and explains why so much countries have Covid-19 cases. If it will come to a real pandemic the economy will crash and a vaccine is a year away.",0
1112,1112,1112,Fennel tea cures coronavirus.,"Hangover is being mistaken for a corona virus, menudo and a Gatorade will clear you up haha https://t.co/VVW6XcHYLH",0
307,307,307,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"Dr. Eric Toner, at Johns Hopkins Health Center said, “I hope &amp; pray Covid-19 turns out to be a moderate pandemic, but if not, we’re in serious trouble.”
“Even during mild flu pandemics, most of #US ICUs are filled to the brim with severely ill patients on mechanical ventilation.”",0
295,295,295,Hand sanitiser sold commercially does not destroy the coronavirus.,@USERNAME There's evidence that exclusive breastfeeding will help to protect babies from coronavirus. It's less clear if the mother is infected. It appears that the main concern is the risk of proximity to an infected person. Milk that has been tested has not been found to have the virus.,0
1477,1477,1477,A person can tell if they have coronavirus or not simply by holding their breath.,"Masks primarily prevent a person from giving the disease to someone else. 
There are limits to how a mask can protect you from being infected. 
The most important thing everyone can do is wash your hands, keep your hands away from your face and very precise hygiene. #coronavirus https://t.co/yND8YmGtB7",0
665,665,665,A person can tell if they have coronavirus or not simply by holding their breath.,"According to CDC, most people get infected with human Coronaviruses during their lifetime. It usually causes mild to moderate respiratory infections, like the common cold. But it can cause more severe illnesses such as bronchitis &amp; pneumonia.

Dems politicizing it causes PANIC! https://t.co/ujE8Bbr1nW",0
559,559,559,Holy communion cannot be the cause of the spread of coronavirus,"The spread of coronavirus is fundamentally a political problem caused by apathy, ignorance and beliefs (contentment with ignorance). https://t.co/f5xwUgSj6N",0
1543,1543,1543,Coronavirus is caused by 5G.,"Coronavirus causes MANY illnesses, depending on the strain. Common colds are coronavirus. 
MERS &amp; SARS are also coronaviruses. 
COVID19 is apparently a robust strain that is very hard on the lungs, more dangerous to those with already-compromised immune or pulmonary  systems.",0
469,469,469,Africans are more resistant to coronavirus.,Modern plumbing helps prevent spread of COVID-19 Coronavirus. Toilets and the installation of water distribution systems that deliver clean water into homes are widely acknowledged to have saved more lives than anything else in the world: https://t.co/LsNSSTAqXA https://t.co/IVrMFaqAeo,0
