,premise,text
0,Coronavirus is genetically engineered.,The #coronavirus is an act of war !
1,Coronavirus is genetically engineered.,The #coronavirus was a scam .
2,Coronavirus is genetically engineered.,Now #coronavirus is a racial issue . Fuck these ppl .
3,Coronavirus is genetically engineered.,#Coronavirus is a black swan ...
4,Coronavirus is genetically engineered.,#Coronavirus of course we do .
5,Coronavirus is genetically engineered.,Be Safe from #coronavirus infection .
6,Coronavirus is genetically engineered.,@USER The same lab where the #coronavirus originated from ?
7,Coronavirus is genetically engineered.,HTTPURL #CoronavirusOutbreak Things that make you think Hmmmmm .
8,Coronavirus is genetically engineered.,What are the symptoms of #CoronaVirus ?
9,Coronavirus is genetically engineered.,#Covid-19 is actually #Wuhan-400 China must be punished .
10,Coronavirus is genetically engineered.,@USER #WuhanCoronaVirus was manufactured in #China as part of a #BioTerrorism experiment that probably went bad .
11,Coronavirus is genetically engineered.,I wonder if #covid19 is a biological weapon that is worse than nuclear .
12,Coronavirus is genetically engineered.,how much money is the healthcare industry making off of #coronavirus ?
13,Coronavirus is genetically engineered.,I am more concerned about the Diabetes epidemic than #coronavirus .
14,Coronavirus is genetically engineered.,@USER Most likely #Corona is experimented as #Biokogical weapon .
15,Coronavirus is genetically engineered.,The #coronavirus bamboozled us #All .
16,Coronavirus is genetically engineered.,The #coronavirus does n't have an ethnicity . Only a fool would think otherwise .
17,Coronavirus is genetically engineered.,"HTTPURL The #CCP #coronavirus is rapidly losing its potency in Italy . As one would expect from an unnatural , that is , genetically engineered , virus ."
18,Coronavirus is genetically engineered.,#Covid_19 is fake . Shut . Up .
19,Coronavirus is genetically engineered.,"In your opinion , is the potential threat from the #coronavirus being exaggerated ?"
20,Coronavirus is genetically engineered.,@USER #Covid_19 IS A FRAUD .
21,Coronavirus is genetically engineered.,#coronavirus lockdown continues !
22,Coronavirus is genetically engineered.,#Coronavirus can some one tell me how it spreaded .
23,Coronavirus is genetically engineered.,The person that died of coronavirus was probably killed by Hillary Clinton ! #Coronavirus is a hoax !
24,Coronavirus is genetically engineered.,Some of yall using this #coronavirus for clout .
25,Coronavirus is genetically engineered.,How is your business impacted by the #coronavirus ?
26,Coronavirus is genetically engineered.,First report of #coronavirus in Bhutan .
27,Coronavirus is genetically engineered.,Expose #CORONAVIRUS do not hide it destroys every one .
28,Coronavirus is genetically engineered.,This crazed reaction to the #coronavirus is categorically moronic .
29,Coronavirus is genetically engineered.,"Is #CoronaVirus #Covid_19 a Natural Virus from Chinese Wet Markets where people eat LIVE Bats , Cats & Dogs or a Manufactured BioWeapon ?"
30,Coronavirus is genetically engineered.,I want to know how people are recovering from #coronavirus . What is the treatment protocol ?
31,Coronavirus is genetically engineered.,Which administration has handled #coronavirus the best .
32,Coronavirus is genetically engineered.,The #coronavirus is a form of biological warfare from China
33,Coronavirus is genetically engineered.,"If you thought #CoronaVirusUpdate is strange , this might explain it ."
34,Coronavirus is genetically engineered.,JK the studio is closed indefinitely for #coronavirus .
35,Coronavirus is genetically engineered.,#Coronavirus The people of the world are being lied to by governments regarding the severity and spread of this virus to save the world economy .
36,Coronavirus is genetically engineered.,Media surrounding #Corona is doing more harm than the actual virus .
37,Coronavirus is genetically engineered.,#Coronavirus Fear and trauma based mind control on a global scale is a constant threat .
38,Coronavirus is genetically engineered.,@USER #coronavirus definitely looks like this .
39,Coronavirus is genetically engineered.,Does #coronavirus respond to tax cuts ?
40,Coronavirus is genetically engineered.,Be Safe from #coronavirus infection 2
41,Coronavirus is genetically engineered.,No one dies from #covid_19 .
42,Coronavirus is genetically engineered.,@USER #coronavirus will change us all .
43,Coronavirus is genetically engineered.,I am convinced #Coronavirus altered the #DNA of most of the globe and made almost everyone completely insane .
44,Coronavirus is genetically engineered.,Seems like #covid19 is the biggest fraud in history .
45,Coronavirus is genetically engineered.,How many Missionaries have #Coronavirus ?
46,Coronavirus is genetically engineered.,Democrats and the Chinese communist government colluded to create the #coronavirus to bring down Trump . Prove us wrong .
47,Coronavirus is genetically engineered.,Is anyone else concerned that we are not being told the whole truth about #coronavirus in the usa ?
48,Coronavirus is genetically engineered.,"@USER No , rather , it appears to be a race-specific bioweapon . Early Chinese propaganda was that #coronavirus kills Asians most and Blacks are probably immune . Now we know that the exact opposite is true ."
49,Coronavirus is genetically engineered.,Propagated epidemics . A live example #COVID19 .
50,Fennel tea cures coronavirus.,so steam bath 4 times day kills #coronavirus ?
51,Fennel tea cures coronavirus.,@USER #coronavirus cures the FLU !
52,Fennel tea cures coronavirus.,The #coronavirus was a scam .
53,Fennel tea cures coronavirus.,Be Safe from #coronavirus infection .
54,Fennel tea cures coronavirus.,Kill #coronavirus on surfaces with STEAM . Simple . Alcohol wipes only do so much .
55,Fennel tea cures coronavirus.,"@USER The #coronavirus kills liars , too ."
56,Fennel tea cures coronavirus.,Some of yall using this #coronavirus for clout .
57,Fennel tea cures coronavirus.,JK the studio is closed indefinitely for #coronavirus .
58,Fennel tea cures coronavirus.,The #coronavirus is an act of war !
59,Fennel tea cures coronavirus.,#Coronavirus of course we do .
60,Fennel tea cures coronavirus.,Lost my taste #coronavirus ?
61,Fennel tea cures coronavirus.,Now #coronavirus is a racial issue . Fuck these ppl .
62,Fennel tea cures coronavirus.,Does G-d have the #coronavirus antibody ?
63,Fennel tea cures coronavirus.,What are the symptoms of #CoronaVirus ?
64,Fennel tea cures coronavirus.,how much money is the healthcare industry making off of #coronavirus ?
65,Fennel tea cures coronavirus.,The person that died of coronavirus was probably killed by Hillary Clinton ! #Coronavirus is a hoax !
66,Fennel tea cures coronavirus.,"There is no cure for the #Coronavirus , but using soap and water to wash your hands kills it ? Am i missing something ?"
67,Fennel tea cures coronavirus.,I want to know how people are recovering from #coronavirus . What is the treatment protocol ?
68,Fennel tea cures coronavirus.,How many Missionaries have #Coronavirus ?
69,Fennel tea cures coronavirus.,@USER Criminals are immune to #coronavirus outside of jail .
70,Fennel tea cures coronavirus.,#Covid_19 is fake . Shut . Up .
71,Fennel tea cures coronavirus.,"I have some good #news , #hydroxychloriquine can cure the #coronavirus . But , the problem is that it 's not tested ."
72,Fennel tea cures coronavirus.,"#Coronavirus It 's an infection , it needs a prescription !"
73,Fennel tea cures coronavirus.,#coronavirus lockdown continues !
74,Fennel tea cures coronavirus.,@USER But will it stop #Coronavirus ?
75,Fennel tea cures coronavirus.,I really dont care if Ted Cruz gets the #coronavirus . I just dont care .
76,Fennel tea cures coronavirus.,Democrats and the Chinese communist government colluded to create the #coronavirus to bring down Trump . Prove us wrong .
77,Fennel tea cures coronavirus.,I am more concerned about the Diabetes epidemic than #coronavirus .
78,Fennel tea cures coronavirus.,#Coronavirus is a black swan ...
79,Fennel tea cures coronavirus.,#Coronavirus can some one tell me how it spreaded .
80,Fennel tea cures coronavirus.,No one dies from #covid_19 .
81,Fennel tea cures coronavirus.,The #coronavirus bamboozled us #All .
82,Fennel tea cures coronavirus.,Expose #CORONAVIRUS do not hide it destroys every one .
83,Fennel tea cures coronavirus.,Can you get the #coronavirus #COVIDー19 again once you recover ?
84,Fennel tea cures coronavirus.,First report of #coronavirus in Bhutan .
85,Fennel tea cures coronavirus.,#Coronavirus lol my kid is craking 90s
86,Fennel tea cures coronavirus.,There was no #coronavirus when Obama was president . Just food for thought ...
87,Fennel tea cures coronavirus.,The dark forces of the #coronavirus will not win while I 'm on campus .
88,Fennel tea cures coronavirus.,Self-promotion in the age of #coronavirus . Discuss .
89,Fennel tea cures coronavirus.,@USER :folded_hands: :medium_skin_tone: praying a cure / vaccine for #Coronavirus #COVID19 will be made soon .
90,Fennel tea cures coronavirus.,Which administration has handled #coronavirus the best .
91,Fennel tea cures coronavirus.,Be Safe from #coronavirus infection 2
92,Fennel tea cures coronavirus.,"#CoronaVirusUpdate Rotini is the shittiest pasta . There , I said it ."
93,Fennel tea cures coronavirus.,@USER This guy could fix #coronavirus !
94,Fennel tea cures coronavirus.,#coronavirus Please Chinese stop eating everything ! !
95,Fennel tea cures coronavirus.,@USER Apparently she dies of #Coronavirus next weekend .
96,Fennel tea cures coronavirus.,@USER Probably more important than not spreading #CoronaVirus .
97,Fennel tea cures coronavirus.,Does #coronavirus respond to tax cuts ?
98,Fennel tea cures coronavirus.,This crazed reaction to the #coronavirus is categorically moronic .
99,Fennel tea cures coronavirus.,Wake me up when #coronavirus ends .
100,Holy communion cannot be the cause of the spread of coronavirus,God help us . #Coronavirus
101,Holy communion cannot be the cause of the spread of coronavirus,How can a paper thin mask protect you from the #coronavirus
102,Holy communion cannot be the cause of the spread of coronavirus,Huge thank you to officials in the UAE who are taking the spread of the coronavirus seriously . #CoronaOutbreak
103,Holy communion cannot be the cause of the spread of coronavirus,Isolation is key . #Coronavirus
104,Holy communion cannot be the cause of the spread of coronavirus,This is a demonstration of how he would handle containing the spread of the #CoronaVirus HTTPURL
105,Holy communion cannot be the cause of the spread of coronavirus,I hope the #coronavirus can not be spread by mosquitoes . :folded_hands:
106,Holy communion cannot be the cause of the spread of coronavirus,Control the spread #coronavirus HTTPURL
107,Holy communion cannot be the cause of the spread of coronavirus,Spring break will hasten the spread of #coronavirus What will universities do to protect returning students ? #COVID19
108,Holy communion cannot be the cause of the spread of coronavirus,Thank you Catholic Diocese of Ondo #coronavirus #staysafe #WashYourHands HTTPURL
