,Unnamed: 0,premise,text,stance
2812,2812.0,stay at home orders,@ericgarcetti Mr. Mayor it is time to shut it down please help us. Save us from our selves,1
2447,2447.0,fauci,"At this point, if you don’t wear a mask then DONT AND SHUT UP. Lolllll these people just want the world to know they are mad like a bunch of toddlers. :face_with_rolling_eyes:",0
4041,4041.0,school closures,"@mitch61nm @yeahunoeme So...Religious and private schools can do anything they want.  PUBLIC schools must fully open, on campus and no PPE restrictions. 

What a vile evil man he is. Genocide against the non elite. With our children as the catalyst.",1
3094,3094.0,stay at home orders,@ThAlMeArCrEq @MichaelCoudrey The media and Democrats are really going after HCQ it's a treatment that works we don't have to keep the country shut down. #NoMasks,2
622,622.0,face masks,"@ProfessorSnarf @AlexBerenson @WHO Tests have also shown that oxygen levels decreased with the wearing of masks. I can’t breathe in a mask and am also depriving my body, mind and vital organs of life dependent oxygen when wearing a stupid tyrannical face mask. ",2
1969,1969.0,fauci,"@JerryDunleavy Fauci is a fraud, along with his media cohorts fearmongering the American people over a virus yhat has a 99.4% survival rate!
Take your masks, and kindly shove them where the sun don't shine!",2
4061,4061.0,school closures,@drcarachrist you commented that kids are not spreaders and less susceptible but many countries have had to close schools because of spread.  You need to research more before speaking.,1
838,838.0,face masks,@jtyler220 @AnonymousSage1 And definitely don't wear someone else's fear on your face.,2
1314,1314.0,fauci,It’s time for #DrFauci to resign from the #TrumpPressConference and go on his own. He should testify before Congress and hold his own pressers about the #coronavirus Right now he is the most trusted man in the USA. #COVID19 #VoteBlue2020 #Biden #wiunion,1
628,628.0,face masks,"#Masks are an all out assault on basic human nature

Demonising a human beings connection with breath and life is utterly Satanic",2
550,550.0,face masks,"@TheRightMelissa SERIOUS QUESTION ~ If you had ONLY 7 days LEFT to LIVE your LIFE, would you STILL WEAR a MASK and AVOID your family and friends? Would you CONTINUE to STAND 6ft. apart from everyone? Would you NOT GIVE ANYONE a HUG? ",2
1239,1239.0,face masks,"@Full_On_Cynic I am a multitasker. I will be voting Green to help them reach 5%, but I am 100% ready to put my vest and gas mask on, just been busy working nonstop as a nurse since Covid hit. Ugh.",0
1451,1451.0,fauci,We should only shop at stores that require their workers and their customers to wear face mask. Follow #DrFauci advice and #WearADamnMask #PhysicalDistancing #WashYourHands #COVIDー19,1
1509,1509.0,fauci,"@JoshNBCNews @david4potus2020 @NBCNews It is unconscionable, dangerous, disloyal, dysfunctional, and corrupt for this #WhiteHouse to attack and undermine their own #Coronavirus #TaskForce. As #Trump Team attacks #DrFauci, is it any wonder that their response to #COVID has been so confused and ineffective?

#DeathWish",1
3880,3880.0,school closures,@MotherJones A study of 39 families. What a joke to base opening schools on.,1
1294,1294.0,face masks,@Ilhan These tweets are exactly why we won’t. #Resistance,0
1535,1535.0,fauci,does anyone else see #TrumpLiesPeopleDie stepping on his tongue the more he talks. No now can get a straight answer about anything for the #coronavirus and supplies for staff and hospitals and necessary personnel. What happened to #DrFauci Dr. Fouci,1
590,590.0,face masks,"Your immune system is constantly on the look out for things to protect you from.

Unless you wear a mask of course
Then you have no chance.",2
648,648.0,face masks,@IlluminateDark8 All except for the “put on your mask” part:joy::joy:. I don’t do that kind of shit,2
1351,1351.0,fauci,"Btw. Where is #DrFauci   We know he’s been put on ice, but he should retire and spill the beans. He’s tried. He’s a legend. We need him. #coronavirus people clearly don’t understand what he did for HIV/AIDS. Let’s not forget about him.",1
3176,3176.0,stay at home orders,I’m just so sad seeing all these stories about murder/suicide involving parents &amp; their children! I must have seen 10 stories on it just today! Ppl are suffering over this ridiculous Self-imposed lockdown that the “Scamdemic” has created!#OpenAmericaNow,2
2163,2163.0,fauci,"Wasn't #DrFauci in charge of developing the test?  The one that took forever, and then failed?  Are we super sure he's as smart as we think he is?  #COVIDー19 #coronavirus #",2
2683,2683.0,fauci,@CNN It's a little late. Almost everybody is out already. It's only a matter of time before ppl forget &amp; return to their unsanitary habits anyway. #DrFauci #coronavirus #COVID19,0
